stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,211.28,4300.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441.57,0,0,0,0,0,0,0,0,0
  5-6,82.01,2142.13,0,0,0,0,0,0,0,0,0,0,14.89,0,0,0,0,0,0,0,0,0,0,54.13,0,0,0,0,1034.29,0,0,0,0,0,0,0,0,0
  7-9,3.68,5.76,0,0,0,0,0,16.78,0,0,0,0,65.68,0,0,0,0,0,0,0,0,0,0,313.63,10.01,0,0,106.49,304.38,5.74,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.85,0,0,0,64.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.83,5.01,0,0,34.42,47.17,0,0,0,0,9.29,0,0,0,0
 14-21,0,0,0,3.63,15.45,1.32,0,2.04,0,0,8.46,6.83,0,0.96,0,2.19,0,0,0,1.92,0,0,0,102.51,0.87,1.23,11.12,1.3,245.13,1.8,60.72,3.26,2.85,37.38,0,0,0,0
 24-34,0,0,3.34,3.41,5,0,0,15.5,0,0,17.01,2.17,1.11,0,0,8.09,0,1.62,3.48,6.22,6.68,0,13.38,449.83,0,15.33,48.04,0,421.2,0,16.21,11.69,1.06,72.31,0,0,0,0
 36-46,0,0,0,1.37,2.46,0.57,0,47.82,2.21,1.71,22.03,0,0,1.85,1.27,0.63,0,4.4,0.8,3.57,6.13,0,0,361.46,0,22.54,19.94,0,328.15,0,8.35,3.6,0,78.94,0,2.41,0,3.99
 48-58,0,0,0,0,3.46,0,0,46.15,0.38,4.88,30.12,0,6.22,0,0,0.82,0.53,4.23,11.81,4.31,4.53,0,0,226.72,0,8.03,21.67,0,167.77,0,3.67,1,0,38.15,0,0,0,0.54
 60-70,0,0,0,0,16.54,0,0,93.46,4.36,0,12.18,22.03,8.36,0,0,2.59,4.61,7.41,7.35,4.33,12.68,0.69,0,193.94,0,10.53,32.28,0,156.56,0,1.86,0,0,11.16,0,0,0,0
 72-82,0,0,4.97,0.56,22.85,0,0,46.26,0,0,19.5,14.5,0,0,0,1.86,1.81,25.33,3.03,7.44,9.73,0,0,172.52,0,16.6,66.8,0,113.11,0,2.28,0,0,16.76,1.97,1.05,0,7.86
 84-94,0,0,4.82,2.4,18.49,0,0.92,57.75,0,3.78,18.83,45.17,1.94,0,0,8.18,9.26,15.79,20.44,4.3,21.13,0,0,182.72,0,21.43,74.02,0,302.05,0,4.57,0,0,13.54,2.42,0,0,5.87
 96-106,0,0,2.81,1.33,46.64,0,0,77.09,0,1.27,11.32,53.03,0,0,4.14,16.74,3.52,41.91,15.22,21.62,29.61,0,0.76,134.49,0,11.97,79.01,0,316.23,0,3.53,0,0,7.23,6.72,3.13,0,0
108-118,0,0,2.46,4.07,42.16,0,2.5,58.46,0,9.59,11.75,54.66,0,0,1.14,13.14,1.7,17.03,44.61,9.92,26.17,0,1.6,190.65,0,20.02,63.1,0,247.88,0,1.17,0,0,1.98,24,0,1.44,0
120,0,0,0,4.41,55.13,0,3.12,79.03,0,9.11,24.25,37.96,0,2,0,21.54,16.34,10.49,17.46,14.53,22.96,0,0,220.42,0,32.11,54.95,0,164.9,0,10.35,0,0,9.95,5.03,0,0,0
