stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,64.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.87,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.46,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.83,0,0,0,0,3.68,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,10.74,0,0,8.85,4.14,0,0,0,1.07,0,0,7.14,0,0,0,0,0
 24-34,0,0,0,0,0,0.66,0,2.02,0,0,0,0,0,0,0,0,0,0,5.38,0,0,2.22,17.1,0,0,0.61,0,0.64,0,14.34,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,6.17,0,0,1.44,3.14,0,0.75,0,0,0,0,6.12,0,0,2.69,39.35,0,0,0,0,0,1.39,9.2,0,0,2.52,0,0
 48-58,0,0,0,0,0.63,0,0,104.9,0,0,7.13,2.92,0,1.54,0,0.47,0,0,5.59,0,5.76,0.89,85.1,0.74,0,0,0,0,0.42,9.22,0,0,2.66,0.72,0
 60-70,2.52,0,0,0,0,0,0,402.42,2.88,0,3.76,6.35,0,0,0,3.18,0,0,20.19,0,0,0.9,70.82,0,0,0,0,0,4.65,23.27,0,0,0,0,6.79
 72-82,0,0,0.78,0,0,0,0,559.99,0.96,0,7.14,5.67,0,0,0,12.32,0,0,19.5,0,6.59,0,136.69,0,0,0,0,0,0,12.8,0,3.84,1.64,5.44,6.27
 84-94,0,0,0,0,1.41,4.58,0,413.78,1.49,0,1.15,5.2,2.97,0.85,0,11.06,0,0,10.85,0,2.93,1.49,73.56,0,0,0,0,1.27,0,3.61,0.83,1.49,0,17.93,6.73
 96-106,0,0,2.56,0,0.64,0,5.91,365.78,1.51,0,7.37,14.57,2.2,0,0.68,4.49,0,1.15,7.69,0.71,11.6,0,75.11,0,0.6,0,0,0,0,0,0,4.09,1.4,28.78,0
108-118,0,0,2.13,0,0,0,0,276.9,0.9,2.24,3.55,1.12,8.66,0,0.8,19.64,0,0,10.6,0,4.34,3.48,86.42,0,0.89,1.83,0,0,1.29,11.92,0,0,0,20.11,0
120,0,0,0,0,11.25,6.95,0,349.57,3.98,0,5.08,3.94,20.8,0,0,16.34,1.2,0,6.63,0,13.18,0,249.48,0,0,0,0,0,0,15.27,0,0,0,30.39,0
