stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,iridophores,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,45.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.63,16.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,3.35,0,0,4.05,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,10.13,4.42,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,2.96,0,0,0,0,0,0,2.49,0.82,0,0,0
 24-34,0,0,0,1.68,0,0,0,0,0,0,0,0,2.13,0,0,0,0,0,0,0,2.04,0,0,0
 36-46,0,0,0,0,1.98,0,0,0,0,0,0,0.56,16.47,0,0,0,2.32,0,0,0,2.66,0,0,0
 48-58,0,0,0,0,24.07,0,0,0,0,0.81,0,0,29.1,0,1.85,0,0,0,0,0,12.15,0,0,0
 60-70,0,0,0,0,130.32,0,5.21,0,0,0,0,0,129.79,0,0,0,0,0,0,0,74.81,0,0,0
 72-82,0,0,0,0,241.26,0,12.63,0,0,0.97,0,0,159.77,0,0,0,1.72,0,0,0,47.07,0,0,0
 84-94,0,0,0,0,195.54,0.94,7.81,0,0,0.77,0,1.01,141.44,0.56,2.7,0,0,0,0,0,31.35,1.79,0,0
 96-106,0,0,3.8,0,376.49,0,14.14,0,0,1.88,0,0,150.51,0,0,0,0,0.67,0.71,0,33.4,0,0.88,0.75
108-118,0,0,0,0,459.71,0,20.49,8.06,0.51,0,0,1.05,158.18,0,0,0,0,0,0,0,21.3,0,0,0
120,0,0,0,0,354.12,0,20.22,0,0,13.57,2.91,2.55,162.61,0,0,0,0,0,0,0,54.26,0,0,0
