stage,axial,blastomeres,endoderm,epidermis,eye,glial,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord
  3-4,13.67,34.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,54.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,18.41,4.08,0,0,0,0,0,0,0
 10-12,0,0,10.81,0,0,0,0,0,0,11.83,0,0,0,6.73,0,0,0,0
 14-21,0,0,0,0.87,0,1.81,0,0,2.41,5.44,0,0,0,0,0,1.02,1.82,2.15
 24-34,0,0,0,0,1.56,0,1.69,0,0,28.18,0,1.98,0,0,2.12,0,0,6.43
 36-46,0,0,0,0,22.56,0,0,0,0,9.1,0,0,0,0,0,0,0,2.12
 48-58,0,0,0,0,8.69,1.85,1.38,0,0,14.58,0,0,0,0,0,0,0,0.81
 60-70,0,0,0,0,11.04,0.86,0.78,0,0,16.38,0,0,0,0,1.86,0,0,1.37
 72-82,0,0,0,0,8.61,1.21,2.85,0,0,3.74,0,0,4.42,0,0,0,0,6.44
 84-94,0,0,0,1.35,4.87,0,0,1.37,0,2.65,0,0.8,0,0,2.07,0,0,10.29
 96-106,0,0,0,0,6.31,0,0,0,1.78,2.05,0,0,0,0,0,0,0,0
108-118,0,0,0,0.74,3.44,0,4.42,0,0,3.48,0,0,0.52,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,10.13,0,0,0,0,3.12,0,0,0
