stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.51,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.62,0,0,1.36,0,0,0.96,0,0.62,0,0,0,89.18,0,0.62,0,0,0,1.98,0,0,0,0,0
 36-46,0,0,0,1.51,0,0,20.43,0,0,2.23,0,7.21,0,0,0,299.57,4.17,0,0,0,0,27.64,0,0,0,0,0
 48-58,0,7.22,0,28.33,0,0,57.98,0,0,2.43,0,12.71,0,0,1.12,610.76,0.57,0.4,0,0,0,53.79,0,0.61,1.62,0,0
 60-70,0,1.17,0,65.08,0,0,99.1,0.85,0,9.15,0,38.76,0,1.63,0,1556.98,0,0.58,0,0,0,108.12,0,1.73,0,0,0
 72-82,0,1.82,0.52,94.08,0,0,116.03,0.7,1.04,7.02,0,54.93,0,3.05,1.68,1808.57,0,0,0,0.56,0,71.76,0,1.91,0,0,0
 84-94,0,2.76,0,91.85,0,0,95.09,0,1.8,7.53,0,18.62,0,0,1.16,1260.08,0,0,0,0,0,50.64,0,3.15,0,0,6.4
 96-106,0,4.34,0,101.34,0.58,0,79.48,0,0,6.71,9.55,11.49,0,0,0,1026.93,2.06,1.87,0,0,0,28.69,0,0,0,1.78,0
108-118,1.56,13.08,0.58,74.99,0,0.5,62.14,0,0,13.43,0,8.75,1.01,3.07,1.14,874.23,1.12,1.31,0,0,0,9.07,1.29,0,0,0,0
120,0,7.56,0,69.68,0,0,160.21,2.35,0,4.6,0,1.97,0,0,0,1255.68,4.55,0,9.36,0,3.15,14.68,0,0,0,0,0
