stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,29.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,86.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.33,5.46,0,4.74,0,0,14.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.21,53.33,0,0,89.84,0,0,5.11,0,0,0,0,0,0,0,0,0,0
 10-12,0,17.85,0,23.14,0,14.24,23.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,619.74,36.11,0,0,307.87,0,0,0,4.19,39.06,0,17.08,0,0,0,0,0,0
 14-21,0,0,0.82,0,7.46,13.07,7.41,0,0,0,6.28,0,0,0,3.85,0,0,0,5.77,24.94,0,0,27.08,272.88,9.24,0,2.32,2.8,0,0,0,10.82,0,3.47,34.75,158.58,0,0,8.77,0,2.62
 24-34,0,0,3.31,0,13.88,7.38,23.12,0,0,2.19,21.67,0,17.51,0,3.45,3.58,0,12.76,18.19,136.52,0.63,0.89,69.46,1392.96,11.48,11.59,10.6,0,0,12.18,0,0,0,4.19,16.37,341.13,0,0,51.73,0,11.54
 36-46,0,0,0.95,0,2.4,0,155.62,3.92,12.37,6.63,39.79,0,2.33,0,14.55,3.59,0.6,0,32.25,197.77,0,1.61,65.78,2161.55,30.23,5.52,1.39,0,0,1.57,0,0,0.62,3.54,0,523.08,0,0,61,0,4.91
 48-58,0,0,0.54,0,9.67,0,613.76,5.19,5.76,11.21,121.07,0,4.3,0,5.1,20.33,1.05,5.68,24.88,182.49,0.97,10.85,39.61,2410.67,18.12,7.59,2.72,6.64,0.56,23.95,0,0,0,0.46,0,469.84,0,0.49,36.92,0,44.91
 60-70,0,0,4.13,0,4.67,0,1637.49,1.86,6.15,8.39,165.73,0,7.75,0,0,14.68,1.02,0,17.89,256.06,0,20.17,35.56,2436.99,10.45,13.74,3.69,0,3.92,7.76,0,0,0,2.39,0,418.34,1.61,4.19,30.06,0,39.1
 72-82,0,0,3.98,0,10.91,1.53,1448.29,3.03,0.56,15.34,235.86,2.7,10.71,4.13,0,9.73,0,0,11.56,356.96,0.56,10.16,26.46,2090.87,6.04,12.39,2.93,0,1.64,4.05,0,0,0,0.58,0,194.98,1.39,11.83,103.18,10.01,16.09
 84-94,0,0,1.55,0,17.12,0,1001.69,4.33,0,23.08,203.13,5.69,14.23,1.12,1.18,15.65,0,6.85,11.73,256.65,0,11.69,9.91,1596.11,6.38,5.81,9.28,0,2.16,2.53,0,0,0,0,0,154.03,0,14.78,91.44,16.2,19.28
 96-106,0,0,5.6,0,14.85,3.61,661.64,4.51,3.85,10.36,139.91,8.89,10.22,6.43,1.65,4.25,1.17,4.97,4.88,223.58,1.4,5.21,23.31,1200.68,1.28,8.27,1.73,0,4.1,13.26,0,0,0,0.82,0,64.04,1.67,2.88,73.45,6.36,37.64
108-118,0,0,1.16,0,23.68,5.09,616.34,5.78,0.52,12.81,192.83,8.9,9.44,3.33,0,12.8,0,4.23,7.11,274.49,0,16.33,14.83,1259,1.87,8.49,4.53,0,11.09,3.06,0,0,0.81,0.43,0,53.22,3.81,2.42,59.45,5.17,10.72
120,0,0,0,0,51,11.33,611.64,6.71,1.11,3.1,292.7,0,4.06,6.2,2.56,0,1.07,0,1.51,239.98,0,34.68,13.94,1555.51,3.47,1.11,8.76,0,22.05,0,0,0,0,0,0,123.65,0,16.31,50.85,9.85,10.92
