stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,pericytes,periderm,spinal.cord,vasculature,visceral.smooth.muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,10.52,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,9.4,0,0,0,1.26,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.94,0,0,0,53.76,0,0,0,4.41,0,0.68,0,0,0,0,0.66,0,0
 36-46,0,0,0.91,0,0,0,0,29.92,0,0,0,3.13,0,10.13,0,0,0,0.89,0.99,0.76,0
 48-58,2.46,0,0.43,0,0,0,0,15.67,0,0.53,1.92,0,0,3.04,0,0,0,0,0,0,0
 60-70,8.32,0,5.34,3.8,0,0,0,50.53,0,0,0,0,0,1.01,0,0,0,0,0,0,0
 72-82,2.19,0,3.47,4.54,0.62,0,0.64,79.02,0,0,2.39,0,0,11.28,0,0,0,0,0,0,1.24
 84-94,7.88,0,1.41,1.85,0,1.82,0,187.02,0,0,0,0.57,0,16.11,0.73,0,0,0,0,0,0
 96-106,6.45,1,1.14,0,0,0.78,0.66,166.75,3.15,0,4.97,2.74,0,15.34,2.63,0,5.22,1.23,0,0,0
108-118,11.12,0,0,0,0.8,0.72,0,190.41,0,0,0,6.11,0.43,1.2,0,2.75,0,0,0,0,0
120,21.72,0,0,0,0,0,0,141.33,0,0,16.84,3.15,1.51,23.67,0,0,0,0,0,0,0
