stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,37.17,354.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.92,0,0,0,0,0,0,0,0
  5-6,12.17,153.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.32,0,0,27.31,0,26.65,0,0,10.49,0,0,0,0,0,0,0,0,114.03,9.32,0,64.94,5.34,7.87,0,0,0,0,0,0,0
 10-12,0,23.25,0,34.19,0,9.96,0,0,4.71,0,0,0,0,0,0,0,0,217.07,0,0,82.55,0,0,3.57,39.64,0,0,0,0,0
 14-21,0,0,0,0,5.39,0,0,0,0,2.44,0,0,0,1.02,0,0,0,5.16,0,0,0,0,0,2.16,0,0.81,2.51,0,0,0
 24-34,0,0,0,0,0.61,1.58,0,1.19,0,0,0,0,0,1.62,0,0,0,18.63,0,0,0,3.27,0,0,0,0,9.55,0,0.69,0
 36-46,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0.77,0,0,0.65,7.76,0,0,0,2.24,0,0,3.13,0,3.4,0,0,0
 48-58,0,0,0,0,0,0.97,2.13,0,0,0,0,0,0,2.16,0.41,1.13,0,1.6,0,0,0,19.31,0,0,0,0,0.47,0,0,1.13
 60-70,0,0,0,0,5.58,0,1.17,0,0,0,0,0.63,0,0.97,0,0,0,0,0,0,0,13.5,0,0,0,0,0,0,0.79,0
 72-82,0,0,0.53,0,0,1.22,1.01,0,0,1.33,0,0,0,3.45,0,0,0,2.21,0,0,0,9.36,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.93,0,0,0,0,0,0,0,0,0.63,0,2.55,0,0,0,0.88,0,17.43,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0.82,1.78,1.31,0.69,0,0,0,0,1.49,0,0,1.16,0,0.62,0,0,0,11.5,0,0,0,0,0,0.78,1.88,0
108-118,0,0,0,0,0.46,0,0,0.56,0,0,0.56,0,1.49,6.62,0,2.51,0,6.47,0,0,0,18.71,0,0,0,0,0,0,0,0
120,0,0,0,0,3.11,1.44,0,1.26,0,0,0,0,0,0,0,0,0,5.35,0,0,0,1.35,0,0,1.02,0,0,0,0,0
