stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1.23,24.62,787.53,354.37,0,407.07,0,0,0,307.67,33.42,6.31,37.31,3.02,0,3.84,4.26,8.64,3.26,3893.8,2.06,0,3472.58,20940.82,48.9,4.22,186.92,24.31,0,10.84,5.81,231.58,8.29,662.52,1368.07,4673.65,0,0,41.91,0,22.45
 24-34,14.69,2.43,30.07,314.04,62.26,0,520.16,12.36,7.29,60.84,578.34,21.93,2.49,117.24,0,1.99,72.17,23.29,33.61,39.59,9811.86,0,19.46,4730.34,21149.75,34,11.41,212.02,10.77,26.43,14.92,0,23.39,4.34,142.85,294.91,6860.42,0,0,316.36,0,154.33
 36-46,11.67,0,3.65,82.18,15.58,0,308.29,34.72,21.25,227.18,470.23,5.58,0,108.53,16.54,0,25.17,37.49,35.74,65.68,8358.6,3.56,221.37,3423.35,7281.03,20.34,23.08,67.02,0,18.66,16.67,0,17.41,13.65,59.91,13.07,4107.9,0,20.51,203.19,0.78,208.29
 48-58,5.14,0,0,28.3,3.76,0,366.52,25.76,8.55,186.37,274.77,0,0,38.4,0.7,0,54.08,22.8,5.33,84.45,7614.27,2.89,281.8,1957.03,2075.29,2.61,7.7,31.43,3.66,13.19,8.56,0,0,1.3,16.68,2.82,758.87,0,21.92,77.96,5.05,309.11
 60-70,0,0,0,29.44,0,0,695.21,57.35,19.23,127.29,285.48,6.41,0,20.01,5.85,5.07,73.8,35.19,21.91,33.73,7849.25,3.03,295.15,1140.48,1129.07,5.96,9.92,30.41,0,87.32,5.97,0,1.38,1.27,6.88,0,159.25,0,183.09,79.27,53.47,300.01
 72-82,0,1.15,0,32.79,22.66,0,1167.44,28,6.43,134.33,324.62,1.84,0,54.26,4.4,0,34.63,35.7,0.96,9.93,8205.94,3.04,368.22,942.71,856.22,6.44,12.36,45.95,0,128.5,5.12,0,0,5.45,5.57,0,108.98,0,196.74,67.9,178.23,163.47
 84-94,0,0,0,50.35,11.24,0,1224.79,38.94,6.72,153.82,294.06,2.05,0,57.39,7.37,1.83,78.88,35.92,7.25,40.72,7546.58,0,468.74,911.51,644.72,19.58,39.84,32.67,0,116.43,9.59,0,0,6.89,13.04,0,106.08,2.69,196.17,91.39,195.58,203.41
 96-106,0,0,0,48.95,36.11,1.54,914.43,37.84,10.22,97.69,297.2,9.26,0,127.17,8.15,2,48.38,35.82,15.13,5.41,6495.48,6.09,409.58,599.24,883,7.96,34.07,73.5,0,265.01,25.8,0,0,8.9,11.06,0,65.88,9.92,188.13,69.31,195.05,199.6
108-118,0,0,1.46,51.1,4.46,2.65,712,49.37,1.4,106.87,395.38,7.56,0,75.47,4.25,0.89,90.97,47.15,9.95,30.38,7991.59,0.43,453.38,661.71,846.67,14.93,30.2,80.34,8.11,433.09,14.96,0,0,9.14,20.24,0,27.6,2.89,192.76,66.98,155.23,231.44
120,0,0,0,57.75,32.37,0,647.59,54.6,2.23,89.9,336.46,5.68,0,102.46,5.53,0,31.67,33.95,19.12,15.32,6159.53,4.81,528.7,560.14,833.07,29.69,26.54,67.4,0,442.42,5.89,0,0,2.27,8.46,0,55.75,0,233.22,69.42,212.55,83.08
