stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,1.03,0,0,0.88,0,0,0,0,0,0,0,0,0,0,0,0,2.45,0,0,3.06,43.62,0,0,0,0.8,0,0,0,0,7.13,0,0,0,0,0
 24-34,0,0,2.27,0,0,5.56,0,0,3.69,0.7,0,0,0,1.02,0,0,0,0,6.18,0,0,6.22,61.15,1.52,0,0,0,0,0.95,0,0,16.77,0,0,2.67,0,0
 36-46,0,0,3.88,2.01,0,24.93,1.69,0.58,0.6,0.73,0,0,0,0,0,0,1.07,0,21.32,0,0,2.68,139.54,0,0,5.19,0,0,0,0,0,16.16,0,0,0,0,4.66
 48-58,0,0,4.32,0,0,53.35,2.57,0,0,5.47,0,0,0.55,0,0,0,0,2.34,15.42,0,0,3.47,116.78,0.63,0,0,0,0,4.33,0,0,34.72,0,0,1.87,0,10.2
 60-70,0,0,13.29,3.07,0,91.06,0,5.31,1.24,26.63,0,0,0,0,0,0,0,0,43.18,0,0,2.69,159.79,1.42,0,1.67,0,0,1.86,0,0,22.06,0,1.54,2.17,0,10.4
 72-82,0.86,0,3.33,5.42,0,30.9,4.16,0,0,14.1,0.54,0,0,0,0,2.68,0,0,32.13,0,0,0,99.07,0.72,0.53,3.36,0,0,1.32,0,0,8.4,1.06,2.22,5.55,0.57,8.35
 84-94,0,1,8.66,0,0,36.87,0,1.04,1.03,10.26,0,2.66,0,6.28,0,0.86,0,0,11.48,0,0,0.84,45.9,1.81,0,1.2,0,0,4.74,0.56,0,12.33,0,2.36,4.82,0,0
 96-106,0,0,4.56,4.34,0,16.31,0,0.81,0,8.62,0,0,0,1.38,0.94,0.79,0,0,12.09,0,0,0.81,34.38,0,0,0.65,0,4.64,12.69,0,0,5.26,0,1.27,4.21,1.13,0
108-118,0,0,3.17,4.24,1.8,33.84,0,0.72,4.98,4.59,0.64,0,0,2.41,1.05,1.13,0,0,36.75,2.35,3.94,1.59,50.26,0,1.23,0,0,0,12.44,1.76,0.66,0,0,0,4.92,0,0
120,0,0,15.9,0,0,31.05,1.04,3.95,2.83,18.78,6.76,0,0,3.82,0,0,0,0,54.25,0,0,1.15,148.16,3.75,0,0,0,0,6.51,0,0,0,0,7.67,2,0,0
