stage,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,immune,neural,paraxial_mesoderm,presomitic_mesoderm,pronephros
  5-6,25.08,0,0,0,0,0,0,18.08,0,0,0
  7-9,0,13.83,0,0,0,8.88,0,8.92,26,0,0
 10-12,0,0,0,0,0,0,0,0,45.33,0,21.98
 14-21,0,0,1.73,0,0,0,0,0,0,0.97,0
 24-34,0,0,0,0,0.76,0,0,0,0,0,0.64
 48-58,0,0,0,0,0,0,0,2.71,0,0,0
 96-106,0,0,0,1.18,0,0,0,0,0,0,0
108-118,0,0,0,1.97,0,0,0,0,0,0,0
120,0,0,0,0,0,0,5.69,5.47,0,0,0
