stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,286.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.98,0,0,0,0,0,0,0,0
  5-6,7.29,97.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.41,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,0,0,1.27,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48,0,0,7.81,0,0,0,0,2.83,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0,1.65,4.71,0,0,196.71,0,0,0,0,4.3,0,0,0,0,0
 48-58,0,0,0,3.59,0,0,16.78,0,0,1.04,4.25,0,0,0,0,0,0,0,5.27,0,0,1.04,30.26,0,0,1050.53,0,0,0,0,5.96,0,0,0,0,0
 60-70,0,0,0,8.92,0,0,20.83,0,0,0.81,1.69,0,0,0,0,0,0,0,14.68,0,7.43,13.35,19.48,0,0,1808.14,0,2.39,0,0,0.7,0,0,0,0,4.39
 72-82,0,0,0.64,3.59,2.95,0,87.95,0,2.98,0,48.59,0,0,109.4,0,0,0,3.63,230.84,0,5.02,6.07,85.18,0,6.98,6321.05,0,1.23,0,0,16.66,5.62,1.23,6.37,0,16.69
 84-94,0,0,0,2,3.26,0,61.97,0,0,16.48,152.77,4.53,0,0,0,1.87,0,0,55.6,0,0,0.93,86.23,6.57,3.06,9993.43,0,14.78,0.58,0,136.69,0,0,0,0,0
 96-106,0,0,0,391.87,118.26,0,177.64,1.64,43.29,0,762.69,8.34,2.7,13.9,1.82,1.03,11.21,30.31,110.62,61.03,29,5.33,398.65,0,1.9,13531.28,4.63,45.7,0,0.68,11.23,24.88,4.17,17.86,2.9,5.93
108-118,0,0,0.54,51.63,17.2,0.85,117.89,0.42,18.05,2.19,600.34,0,0,5.34,0.81,4.46,1.32,11.11,76.59,39.37,3.96,7.55,230.29,110.52,10.84,17088.39,0,78.23,0,0,3.96,3.46,25.71,6,0.91,10.73
120,31.24,0,0,178.11,17.06,2.02,43.55,0,1.77,6.98,318.67,13.01,0,3.77,1.4,7.23,107.57,1.34,59.16,0,0,14.36,228.49,62.87,12.56,13222.24,0,4.49,0,0,0,0,2.09,2.64,0,18
