stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,8.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39,0,6.71,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.01,0,5.65,0,0,0,0,0,0,0
 14-21,0,0,0.88,0,0,0,0,0,0.86,0,0,0,1.68,0,0,0.95,12.34,0,0,0,0,3.65,1.03,0,0,0
 24-34,0,0,9.6,0,0,2.36,0,0,0,3.98,0,0,0.77,4.16,0,0,18.73,0,0,0,0,0,0.73,0,0,0
 36-46,0,0,3.95,0,1.61,0,1.62,0,0,4.03,0,0,1.67,0,0,0,7.72,3.72,0,0,2.43,0,13.65,0,0,0
 48-58,0,0,12.26,0,6.07,0.93,1.41,0,0,0,0,0,0.39,0,0,0,25.5,0,0,0.47,5.74,0,7.07,0,0,0
 60-70,0,0,2.83,0,11.96,4.55,0.82,0,0,0,0,0,4.54,0,0,0,18.74,1.08,0,0,4.83,0,1.68,0,0,2.67
 72-82,0,0,2.75,0,31.5,0,13.89,0,0,0.66,0,0,6.65,0,1.43,0,33.1,2.35,0,0,8.86,0,1.11,0,3.36,0
 84-94,0,0,1.26,0,13.46,2.27,3.51,0,0,0,1.74,0,3.66,0,0,0,16.77,0,0,0,8.57,0,2.76,1.99,0,0
 96-106,0,1.56,13.89,2.27,13.14,0.7,0,0,0,0,0,0,2.82,0,0,0,15.73,1.47,0,2.69,4.69,0,0,0,0,0
108-118,0,0,5.87,0,8.85,0.43,1.95,0,0,0,0,0,9.76,0,0,0.88,20.69,0,0,0,1.95,0,2.12,0,0,0
120,0,0,6.66,0,2.67,4.95,0,1.25,0,0,0,3.89,0,0,0,0,12.73,0,0,0,1.1,0,0,0,0,0
