stage,blastomeres,epidermis,eye,fin.epithelia,glial,gut,mesenchyme,neural,notochord,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste
  3-4,109.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,4.7,0,0,0,0,0,0
 10-12,3.32,0,0,0,0,0,0,10.71,0,0,0,0,0,0,0,0
 14-21,0,2.3,0,0,0,0,0,0,0.99,0.92,0,0.84,0.89,0,0,0
 36-46,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0
 48-58,0,0.38,0,0,1.39,0,0,2.01,0,0,0,0,0,0,4.78,0
 60-70,0,11.76,0,0,1.29,0,0,8.9,0,0,0,1.33,0,0,0,0
 72-82,0,3.08,0.49,2.82,0,0,1.22,1.16,0,0,0,0,0,5.01,0,1.7
 84-94,0,0,0,0,0,0,0,0,0,0,0.79,0.63,0,0.68,0,7.78
 96-106,0,2.58,0,0.91,0,0.61,0,0,0,0,0,0.8,0,0,1.89,37.94
108-118,0,2.06,0,0,0,0,0,2.37,0,0,0,0.65,0,0,0,17.48
120,0,5.43,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0
