stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,14.29,500.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.96,0,0,0,0,0,0,0,0
  5-6,27.86,207.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48,0,0,0,0,0,17.14,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.47,0,0,0,0,0,4.16,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.31,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.72,3.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.69,0,0,0,0,0,7.15,0,0.91,13.58,0,0,0,0,0
 24-34,0,0,0,0,1.05,0,0,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,3.59,2.13,0,0,22.84,0,0,0,0,0,75.12,0,0,2.52,0,0,14.55,0,0
 36-46,0,0,0,0,0.92,0,0,54.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,22.97,0,0,0,0,0,64.28,0,0,0.73,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,424,0,0.69,3.19,0.7,0,0,0,0,0.37,0,0,0,0,1.23,1.22,0,0,35.58,0,0,0.69,0,0,63.45,0,0,6.59,0,0,0.95,0,0
 60-70,0,0,0,0,1.05,0,0,5747.44,0,0,0.67,16.71,0,1.21,0,0,0,0,0,0,0,4.82,1.11,0,0,53.71,0,0,0,0,0,33.65,0,0,7.25,0,0,2.99,0,0
 72-82,0,0,0,0,38.67,5.13,0,13631.21,1.13,3,11.8,159.42,0.6,0,1.99,1.67,1.16,0,0.89,5.32,1.89,38.56,1.79,3.57,1.6,354.44,0,1.89,2.07,0,0,14.51,0,0,16.45,0,0.75,2.19,2.2,9.97
 84-94,0,0,1.19,0,31.66,2.93,0,8083.71,0,1.86,4.04,178.21,2.19,0,0,0.65,0,1.35,0,0.65,3.32,37.73,0,0,2.68,248.36,0,0,1.14,0,0,15.31,0,0,9.77,0,1.89,11.23,7.71,0
 96-106,1.12,0,3.35,0,24.39,1.88,0,11115.86,1.53,2.48,6.88,113.67,0.56,0,2.19,6.09,0,0.8,0,2.76,0,50.15,1.75,0.88,2.12,242,1.73,2.27,0,0,1.94,10.71,0.7,0,10.72,0,1.2,4.6,3.42,11.83
108-118,0,0,0,0,25.14,15.14,1.04,8419.18,1.3,0,5.42,69.48,2.39,0,0.8,6.3,0.42,2.04,0,1.54,2.61,49.84,1.07,6.24,2.7,238.59,2.68,1.34,0,0,0,5.89,4.44,0,3.73,10.26,1.04,1.87,1.14,0
120,0,0,0,3.17,16.95,10.37,0,4014.89,0,0,2.45,106.33,2.76,0,0,11.38,1.77,2.6,1.88,0,0,23.96,0,19.84,4.94,392.43,0,4.24,12.54,0,0,25.41,0,0,0,0,7.39,0,0,0
