stage,epidermis,erythrocytes,eye,glial,heart,ionocyte,liver,mesenchyme,mural_cell,neural,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 24-34,0,0,0,0,0,0,0,1.08,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0
 48-58,0,1.48,0,0,0,0,0,0,0,3.26,0,0,0,0
 60-70,0,4.47,2.67,1.15,0.87,0,0,4.64,0,7.45,0,2.7,0,0
 72-82,0,1.54,3.61,0,0,0.53,0,7.26,0,26.98,0,0,6.06,0.49
 84-94,0.76,3.2,1.4,0,2.32,0,0,0,0,18,2.82,0,0,0
 96-106,0,0.81,0,0,0,0,0,6.64,0,49.56,0,0,0,2.48
108-118,0,5.56,0,0,0,0,0,9.94,0.71,64.54,0,0,0,1.9
120,0,10.78,0,4.41,0,0,9,0,0,16.53,3.5,0,0,6.61
