stage,endocrine.pancreas,epidermis,eye,glial,gut,hatching.gland,immune,liver,mesenchyme,neural,periderm,spinal.cord,taste
 24-34,0,5.05,0,0,0,0,0,0,0,136.5,2.58,46.94,0
 36-46,0,1.37,0.57,6.32,0,0,0,0,1.65,410.36,10.42,125.55,0
 48-58,0,5.82,7.26,0,0,3.95,0,0,0,232.94,1.04,80.29,0
 60-70,0,0,2.26,0,0,0,0.78,0,10.33,192.25,0,65.43,4.87
 72-82,0,0,3.06,0.8,0,0.87,0,3.49,2.09,246.64,0,44.75,7.62
 84-94,4.51,1.42,14.1,0.73,0.6,0,0,0,2.98,212.42,0,8.24,18.1
 96-106,0,0.79,14.1,0,0,0,0,0,7.01,121.87,0.66,16.9,22.64
108-118,0,1.22,3.42,0,0,0,0,0,0,107.81,2.06,24.64,18.92
120,0,0,12.64,6.62,0,0,0,0,0,139.72,0,28.95,9.7
