stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,vasculature
  3-4,0,36.35,0,0,0,0,0,0,0,0,0,0,0,0,13.28,0,0,0
  5-6,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,31.42,0,0,0,0,0,0,0
 10-12,0,0,0,0,15.7,0,0,0,0,0,33.53,0,12.56,0,0,0,0,0
 14-21,0,0,1.81,0,0,0,0,0,1.22,1.52,9.19,0,0,0,0,0,0,0
 24-34,0,0,0,0,1.49,0,0,0,3.83,0,36.34,0,0,0,0,1.38,5.92,0
 36-46,0,0,0.66,1.1,3.46,0,3.28,0,2.98,0.62,14.9,0,0,0,0,0,2.71,1.67
 48-58,0,0,3.5,0,3.55,0,0.57,0,1.05,0.41,6.75,0,0,0,0,0,3.03,0
 60-70,0,0,0,0,8.4,0,0,0,1.24,0,2.97,0,0,0,0,0,2.25,0
 72-82,0,0,0,0,5.22,0,0,0,0.89,0,3.38,0.54,0,1.78,0,0,0,0
 84-94,0,0,0,0,1.93,0,0,0,0,0,1.53,0,0,0,0,0,0,0
 96-106,0,0,0,0,8.18,0,0,0.71,3.68,1.66,0.59,0,0,0,0,0,0,0
108-118,0,0,0,0,1.58,0.71,1.27,0,1.9,0,6.63,0,0,0,0,0,0,0
120,0,0,0,0,7.59,0,0,0,4.59,0,20.26,0,0,0,0,0,0,0
