stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,111.06,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,32.23,73.46,37.14,0,0,0,88.76,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,232.26,179.34,0,0,2491.37,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,98.97,221.62,0,0,0,56.06,0,0,0,0,0,8.92,0,0,0,0,0,0,0,0,0,0,0,1102.98,378.8,0,0,17451.02,0,0,11.96,476.66,291.03,0,308.32,3.51,0,0,0,0
 14-21,0,36.68,51.66,102.29,165,0,45.07,0,0,0,12.11,28.57,5.87,0,2.86,0,0,0,0,1.07,110.95,0,0,2999.46,760.19,120.16,0,3.3,169.36,0,19.29,1.33,16408.46,21.9,34.86,24134.04,787.08,0,1.86,0,0
 24-34,0,0,0,12.58,4.48,0,30.47,0,0,0,17.04,0.66,2.21,0,0.71,0.59,0.7,0,0,12.32,419.84,0,0,2991.1,624.39,1.47,1.92,4.13,10.77,0,6.37,0,120.24,0,1.74,2233.28,276.44,0,6.45,0,0
 36-46,0,0,0,2.69,0.89,0,14.71,0,0,0,5.31,0,0,0,1.42,0,0,1.78,0,4.72,777.57,0,5.4,2052.8,453.39,0,1.87,2.46,0,0,11.37,0,62.77,7.4,8.66,6.31,198.77,0,26.99,0,0
 48-58,0,0,0,0.56,0,0,25.43,0,0,0,8.83,0,0,4.6,2.54,0,2.72,0,0,2.21,619.3,0.74,1.55,1394.11,305.5,0,0,0,0,0,7.97,0,6.44,0,3.7,2.82,150.73,0,52.54,0,6.1
 60-70,0,0,0,0.9,3.67,0,50.6,0,0,0,9.51,0,0,0,19.5,0,0,0,0,0,449.09,0,4.63,1004.05,235.45,0,0,0,0,0,2.29,0,0,0,1.44,0,53.24,1.69,53.14,0,0
 72-82,0,0,0,6.66,4.65,0,135.03,0.72,1.59,0,31.65,1.88,0,0,36.02,0,0,2.88,6.63,8.9,636.35,0,1.42,1050.68,289.87,0,0,0,0,6.42,5.65,0,8.75,0,0.53,0,58.71,9.95,117.96,4.74,3.22
 84-94,0,0,0,8.05,1.47,0,132.48,2.05,0,0,20.21,1.02,0,0,57.11,0,0.74,0,0,0,687.78,0,4.29,1068.87,195.7,0,0,0.79,0,0,3.52,0,0,0,0,0,24.37,9.22,123.55,5.7,0
 96-106,0,0,0,11.83,5,0,88.12,0,0,1.24,22.6,0,0,0,27.05,1.15,0,4.26,8.43,0,523.72,0,0,956.48,189.65,0,4.76,2.21,0,1.04,2.34,0,0,1.7,0,0,14.41,0,164.63,2.77,0
108-118,0,0,2.93,7.34,6.88,0.55,125.59,0.42,0,2.73,22.76,0,0,0,23.53,1.39,6.94,0,1.34,0,496.95,0,1.16,1070.32,358.65,1.01,0,0,0,0,3.12,0,0,0,0.56,0,17.24,1.8,147.76,2.17,0.91
120,0,0,0,2.48,4.71,0,114.62,0,0,0,29.99,0,0,0,13.53,0,0,0,0,0,287.74,0,2.08,1096.72,503.22,0,0,0,0,0,0,0,1.12,0,0,0,28.72,0,124.27,1.8,0
