stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.38,47.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.07,0,3.95,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,6.14,0,0,0,0,0,0,16.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,74.44,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,23.83,0,0,0,0,0,0,0,0,0.56,0,0,1.81,0,0,0,0,0,0,0,1.44
 48-58,0,0,0,0,0,0,0,0,0,15.41,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.46
 60-70,0,0,0.57,0,0,0,0,0,0,2.37,12.14,0,0,0,0,0,0,0,0,0,0,3.99,0,0,6.87,0,0,0,0,48.05
 72-82,0,0,2.62,0,0,0.99,0,0,0,17.61,1,0,0,0,5.88,0,0,0,4.74,0,0,0,0,0,0,0,0,1.8,1.13,85.11
 84-94,0,0,8.4,2.02,0,0.73,0,0,0,10.82,0,7.61,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0.62,0,91.15
 96-106,0,0,55.73,10.18,0,19.64,0.72,4.15,29.7,14.37,23.16,0,11.91,1.11,5.6,6.44,1.37,0.56,14.47,0.68,0,21.98,0,0,0,0,0,8.4,3.66,187.44
108-118,0,0,47.54,20.25,2.29,9.65,3.96,0.64,43.26,24.8,8.69,0,18.42,9.38,20.29,0,0,0,17.14,1.14,0,20.79,0,0.5,0,2.01,1.76,3.83,2.88,687.05
120,2.37,0,85.49,40.83,0,0,2.24,5.16,74.42,26.29,21.99,3.84,10.51,0,41.35,3.7,0,3.07,41.1,2.85,0,12.63,2.6,0,2.39,7.96,1.56,12.53,10.05,300.27
