stage,axial,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.58,0,0,3.64,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,5.16,0,0,4.7,5.1,0,0,0,0,0,0,3.25,0,0,5,2.9,0,0,0,0
 24-34,0,0,0.66,0,0,0,0,0,0,0,0.66,0,0,0,1.01,0,33.11,0,0,4.11,8.29,17.48,0,1.33,0,0,0,0,0,0,3.29,29.61,0,0,0,0
 36-46,0,0,4.24,1.2,0,1.27,0,0,0,1.72,0,0,0,0,0.68,0,168.73,0,0,15.49,18.57,65.17,0,0,0,0,0.72,1.82,0,5.42,0,50.03,0,0,0,0
 48-58,0,0,19.58,0.41,0,18.82,0,0,0.41,20.49,0,0,0,0,0,0,382.34,0,0.55,29.23,57.81,40.76,0,8.64,0,0,1.24,0,0,0,0,69.79,0.91,0,0,1.69
 60-70,0,0,9.23,0,0,33.71,0,1.84,0.64,88.39,0,2.02,0.82,0,0,0,875.02,0,0,22.6,41.27,38.09,0,0.77,0,1.65,0,0,0,2.48,0,45.52,0.71,0,0,0
 72-82,0,1.43,1.04,0,0,31.1,0,0,0,110.22,0,0,0.65,0,1.37,0,792.88,0,3.8,25.53,51.06,29.38,0,4.43,0,0,0,0,0,0,0,55.56,12.55,8.03,4.43,0
 84-94,0,0,19.51,3.31,0,33.38,0,0,0,62.08,0,0,0,0,7.35,0,646.08,0,1.17,19.7,18.75,31.37,0,5.66,0,0,2.45,0,0,0,0,36.38,5.5,0,1.64,0
 96-106,0,0,14.76,9.52,0.6,28.18,0.87,0,0,63.35,1.5,1.6,0,0,2.01,0,529.99,0,1.76,13.51,108.08,39,2.72,9.62,0,0,2.83,0,1.42,0,0,53.37,0.93,0,1.5,0
108-118,0,0,2.19,9.19,0,10,0,0,0,57.87,0,0,0,0.55,2.46,7.47,429.17,1.41,1.3,14.7,67.49,47.94,0,6.65,0,1.57,1.06,0,0,0,0,26.79,7.27,0,1.46,0
120,0,0,4.29,0,0,47.16,0,0,0,176.42,0,0,0,0,0,0,303.72,0,2.13,3.24,71.08,108.88,3.86,1.84,0,0,2.79,0,0,0,0,30.26,8.2,0,0,0
