stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,0,29.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,14.01,4.71,5.22,0,0,0,4.01,0,0,0,0,0,0,0,0,0,0,46.81,0,0,22.16,0,0,0,0,0,0,0
 10-12,0,10.81,0,0,0,0,4.26,0,0,0,0,0,0,0,0,0,0,32.52,0,0,8.79,0,0,5.29,0,7.22,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,1.16,0,0,2.05,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,11.12,0,0,0,0,0,0,0,0,1.14,0
 36-46,0,0,0,0,0,0,2.09,0,0,0,0,0,0,0,0.7,0,0,30.47,0,0,0,0,0,0,0,0,7.05,0
 48-58,0,0,0,0,0,0,15.12,1.21,0,0,0.81,0.64,0,0,0,0.66,0.4,35.27,0,0,0,0,0,0,0,0,14.24,0
 60-70,0,0,0,0,0,0,88.61,1.61,0,0,0,0,0,0,5.01,0,0,37.87,0,0,0,5.44,2.42,0,0,0,6.66,0
 72-82,0,0,0,0,0,0,183.9,0,0,0,13.24,0,0,0,3.71,0,0,67.29,0,1.07,0,1.78,0,0,0,0,3.5,1.64
 84-94,0,0,0,0,0,0,109.63,1.33,0,0,9.57,0,0,0,2.3,0,0.59,61.45,0,0,0,6.76,0,0,0,0,4.74,0
 96-106,0,0,0,0,5.75,5.91,275.35,2.75,0.9,0,13.27,0,0,0,5.36,0,3.99,86.9,0,1.86,0,0,0,0,0,0,5.52,0
108-118,0,0,0,0,0,0,166.7,4.77,0,0,25.8,0,4.74,0,9.73,0,0.95,70.23,0,2.33,0,7.02,0,0,0.42,0,2.61,0
120,0,0,0,15.14,0,0,163.39,7.65,0,4.45,64.77,0,0,0,13.48,0,2.15,108.45,4.78,7.24,0,0,0,0,0,0,24.88,2.66
