stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,heart,immune,ionocyte,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,26.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.94,0,0,0,0,0,0
 14-21,0,0,0,0.96,0,0,0,0,0,1.62,0,0,0,0,0,0,0,0.91,1.04,0.83,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6
 48-58,0,0,0,0,0.9,0,0,0,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,1.82,0,0.76,0,0.99,0,0,0,0,4.86,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,3.61,0.74,0.99,0,1.41,0,0.9,0,0.74,4.14,0,0.86,0,0,0,0,0,0,0
 84-94,0,1.78,0,0,1.21,0,0,7.6,0,0,0,0,1.99,0,0.77,0,3.02,0,0,0,0,0.69
 96-106,0,0.93,0,2.72,1.18,0,0,17.14,0.63,1.48,1.23,0.79,2.72,0,0,0,24.38,0,0,0,1.45,0
108-118,0,2.98,1.11,2.88,3.42,0.58,0,15.54,0,8.62,0,4.59,6.56,0,0,0,9.13,0,0,0,0,1.99
120,0,6.86,2.27,0,0,3.49,2.18,10.22,0,0,0,1.9,11.77,3.25,0,0,16.91,0,0,0,0,4.26
