stage,epidermis,eye,fast.muscle,fin.epithelia,glial,gut,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,otic,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,6.82,0,0,0,0,0,0,0,0,0
 14-21,0,0.81,0,0,0,0,0,0,0,0,0.83,0,1.2,0,0,0,0,0.8,0.94,0,0,0
 24-34,0,0.97,0,0,2.73,1.01,0,0,0,0,0.68,0,15.02,2.21,0,0,0,0,3.89,0,0,4.03
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,40.95,0,3.52,0,0,0,2.75,0,0,0
 48-58,2.24,6.06,0,0,0,0,0,1.9,0,0,6.51,0,32.14,4.3,0,0,0,0,2.53,0,0,0
 60-70,0,12.63,0,0,7.99,0,0,2.5,0,3.22,19.98,0,10.46,1.43,0,0,1.88,1.8,5.26,0.81,0,0
 72-82,5.03,13.24,0,0,2.81,0,0,0,0,0,125.76,0,32.84,5.58,1.88,0,0,0,8.74,4.83,1.34,0
 84-94,7.15,34.43,0,0,9.54,0,0.58,0,1.39,0,75.55,0,16.29,6,0,0,0,0,9.55,3.94,0,0
 96-106,2.44,27.13,0,0,0,0,0,0,0.58,0,142,0,67.35,10.64,0,3.39,0,0,0,20.37,0,0
108-118,1.54,62.54,1.92,0.76,17.81,0,0,0,0.42,0,152.79,0.65,33.6,14.29,2.26,0,0,1.28,0,12.87,0.86,4.01
120,7.12,67.82,0,0,0,0,0,0,0,0,206.28,0,30.95,14.29,3.28,0,0,0,0,15.02,0,0
