stage,axial,blastomeres,epidermis,eye,glial,heart,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,0,236.49,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.16,80.66,0,0,0,0,0,0,0,0,7.83,0,0
  7-9,0,0,0,0,0,0,0,0,0,3.52,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.32,0,0,0
 14-21,0,0,0,0,0,0,0,1.03,0,0,0,9.61,0
 24-34,0,0,0,0.76,1.05,0,0,18.17,0,0,0,8.53,0
 36-46,0,0,0,0,0,1.71,0,42.41,0,0,0,26.2,0.91
 48-58,0,0,0,10.34,12.95,0,0,96.12,0,0,0,17.97,0
 60-70,0,0,0,10.46,0,0,0,171.63,0,0,0,25.87,0
 72-82,0,0,2.56,5.42,3.4,0,0.95,237.99,2.5,0,0,9.69,0
 84-94,0,0,0.82,2.68,2.91,0,0.92,92.78,0,0,0,6.16,0
 96-106,0,0,0,8.03,2.28,1.24,0,104.54,0,0,0,0,0
108-118,0,0,0,2.52,0,0,0,104.99,0,0,0,6.69,0
120,0,0,0,3.19,10.04,0,0,319.05,0,0,0,0,0
