stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,45.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0
  5-6,27.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.45,0,0,0,5.28,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.55,0,0,0,0,0,0,0,0,0,0,0,62.62,0,0,0,9.11,0,0,0,5.9,0,0,0,0,0,0
 14-21,0,0,0.87,0,6.37,0,7.03,0,0,0,0,0,0,14.53,0.85,1.64,0,0,31.89,0,0,0,0,0,0,0,1.13,5,7,0,0,0,1.76
 24-34,0,0.71,0.59,1.34,0,0,29.03,0,0,0,0,0,0,4.76,2.21,5.11,0,0.65,44.14,0,0,0,0,0,0.66,0,2.11,0,9.18,0,0.63,0,1.99
 36-46,0,0,0,0,0,0,33.47,0,0,4.21,0,0,0.74,6.1,0,1.52,0,0,37.01,0,0,0,0,0,0,0,3.94,0,3.76,0,0,0,0
 48-58,0,0,0,0,0,0,43.72,0,0,12.11,0,0,0,0,0,21.44,0,0,29.9,0,0.94,0,0,0,6.78,0,6.08,0,15.79,0.4,0.53,0,0
 60-70,0,0,0,0,0,0,59.05,0,0,41.92,0.79,0,0,0,0,51.39,0,1.15,36.46,0,0,1.2,0,0,0,0,6.25,0,9,0,0,0,0
 72-82,0,0,0,0,0,0,54.23,0,1.27,122.89,8.1,0,4.81,0,0,59.13,0,0.88,42.69,0,0.73,1.35,0,0,3.97,0,3.45,0,7.71,0,0,0,0
 84-94,0,0,0,0.66,0,1.09,109.17,0,0,77.27,4.65,0,0,0,0,48.33,0.58,4.23,38.83,0,0,0,0,0,0.77,0,0.67,0,2.76,2.39,1.8,0.63,9.69
 96-106,0,0.9,0,0,0,2.28,103.56,0,0.62,75.97,21.3,0,0,0,0,86.66,0,0.72,80.53,0,0.84,0,0,4.63,2.39,1.14,7,0,8.94,6.56,4.68,0.96,0.85
108-118,0,0.41,0,5.6,0,0,86.14,0,0,94.94,51.13,1.37,0,0.77,0,70.14,2.81,1.34,92.07,1.12,1.07,1.01,0,3.8,3.1,0,1.22,0,2.47,0.9,3.19,0.73,0
120,0,0,0,2.09,0,0,83.43,5.79,2.6,78.9,51.36,0,0,2.27,0,91.21,3.51,0,118.51,2.06,0,0,0,0,0,2.5,3.15,0,0,0,0,0,0
