stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,heart,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.09,262.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632.37,0,0,0,0,0,0,0,0
  5-6,46.92,334.83,0,42.71,0,0,0,0,0,7.31,0,0,0,0,0,0,0,15.37,0,0,0,0,1174.88,0,0,0,0,0,0,0,0
  7-9,0,0,0,14.09,0,11.76,0,0,0,33.07,0,0,0,0,0,0,0,158.62,0,0,0,32.57,545.57,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.21,0,0,0,0,0,5.49,0,0,0,0,0,0,0,132.92,10.78,0,0,16.26,84.03,0,0,3.87,0,0,0,0,0
 14-21,0,0,0,0.97,8.54,2.03,0,0,1.89,0,0,19.33,0,2.2,2.09,0,0.9,17.77,1.58,0,0,0,945.9,2.78,25.01,5.51,4.24,0,0,0,0
 24-34,0,0,0,0,18.39,1.5,0,0,2.73,0,0,34.23,0,1.97,15.45,0,1.03,128.8,0,0,0,0,739.86,0,46.08,0.68,10.67,0,0.66,0,0
 36-46,0,0,0,0,22.64,5.22,0.68,0,1.3,0,0,17.08,0,0.69,3.29,0,1.22,584.34,0.66,0,0.83,0,558.92,0,15.59,0,3.07,0,0.71,0,1.12
 48-58,0,0,0,0,30.88,26.91,0,0,0.5,0,0.45,3.44,0,1.4,6.12,0,0,196.66,0,1.01,0,0,161.28,0,3.87,0,3.61,0,0,0,0
 60-70,0,0,0,0,63.58,4.24,0,0,4.85,0.66,0,3.24,1.2,1.15,0,0,0,114.12,0,0,0,0,36.38,0,1.42,0,0,6.62,0,0,0
 72-82,0,0,0.91,0,60.55,15.44,0,0,47.63,0.62,0,2.2,0,0.79,3.38,0,0,110.28,0,0.88,0,0,9.55,0,2.74,0,0,37.77,0,0,0
 84-94,0,0,0,0,111.34,1.92,0.87,0.69,96.39,0,0,3.46,0,4.4,0.74,0.84,0,130.45,0,0.85,0,0,25.3,0,0,0,0,75.78,0,1.13,0
 96-106,0,0,5.81,0.8,126.11,6.25,0,7.65,178.63,0,0,6.66,0,1.39,4.77,0,0,127.64,0,0,0,0,11.52,0,4.36,0,0,146.69,7.31,0,0
108-118,0,0,2.69,1.99,111.47,15.51,1.84,6.62,225.19,0,0,13.2,0,9.65,7.23,1.4,0.48,104.5,0,0,0,0,12.71,0,1.83,0,0,161.4,3.24,0,0
120,0,0,0,0,118.2,2.94,0,0,159.95,0,0,3.48,0,0,2.27,0,0,50.8,0,0,0,0,1.68,0,15.79,0,0,68.04,0,0,0
