stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,immune,ionocyte,liver,mesenchyme,neural,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,14.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,12.61,0,0,3.51,0,0,0,0,0,23.81,0,4.11,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,16.31,0,5.94,0,7.85,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,8.67,0,1.79,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,2.41,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.61,0,0,0,1.5,3.04,0,0,0,0,1.84,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.42,4.28,0,0,0,0,3.65,0,0,0
 60-70,0,0,0,0,0,2.49,0,0,0.61,0,0.73,7.42,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.32,0,6.97,0.76,1.24,0,0,0,1.93,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.07,8.29,0,3.51,0.61,1.43,0,7.69,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,7.83,0,8.85,0,1.06,0,6.62,0,0,0,0,0,2.22,0,1.55
108-118,0,0,0,0.94,0,11.62,0,14.09,0.77,5.27,1.58,4.04,0.72,0,3.01,0,0,0,0.95,0
120,0,1.37,0,1.17,0,0,0,6.84,0,0,9.59,19.05,0,0,0,0,0,0,0,0
