stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309.62,10.08,0,15.06,0,0,0,14.33,0,0,0,0,0,0,0
 14-21,0,155.32,0,0,0,0,0,0,1.08,0,0,2.03,0,0,4.43,0.82,0,3.88,18.04,4.91,0,0.93,0,0,0.9,0,0,8.57,3.49,0,0,0,0
 24-34,0,60.7,0,0,0.76,12.28,0,0,0,0,0,0,0,0.61,42.04,0.71,0,2.43,16.11,4.32,0,0,0,7.62,0,0.93,4.94,3.83,7.03,0,0,0.74,0
 36-46,0,28.08,0,0,0.61,16.75,0,0,0,0,0.94,0,0,0.56,37.05,0,0,4.61,9.34,2.06,0,0,0,0.64,0,0,0,0,4.13,0,0,1.01,0
 48-58,0,5.52,0,0,2.17,17.8,1.13,0.41,0,0.65,12.81,0,0,0,56.62,0.38,0,9.48,19.29,10.29,1.41,0,0,3.93,0,0,0,0,2.44,0,0,0,0
 60-70,0,14.05,0,0,1.49,9.29,1.83,10.54,0,0,14.04,0,0,0,84.07,0,0.69,8.19,21.11,0.7,0,0,0,12.32,0,0,0,0,11.63,0,0,0,0
 72-82,0,7.24,1.88,0,7.51,9.54,8.23,8.07,0,0,3.74,0,0,1.28,145.6,0,0,4.14,31.68,0.55,0,0,1.31,5.69,0,0,0,0,0,0,0,0,0.72
 84-94,0,5.42,0,0.87,8.92,7.35,6.59,14.48,0,0,6.4,3.35,0,0,132.46,0,0.66,1.55,57,4.8,1.43,0,0,19.97,0,0,0,0,0,0,1.63,1.22,0
 96-106,0,17.86,0,0.69,7.52,8.53,17.59,13.7,0.66,0,19.89,0.64,0,0,127.64,0.69,0,2.75,35.5,4.4,0,0,2.4,25.33,0,0,0,0,1.98,0.67,0.66,2.02,0
108-118,0,12.59,0,0,18.27,7.13,2.99,15.23,0,0,7.84,2.31,2.11,0,135.73,0,0,1.32,50.52,4,0,0,2.29,26.95,0,0,0,0,4.04,0,2.26,0.93,1.86
120,0,2.89,0,0,14.53,0,14.19,2.63,4.45,0,13.35,1.65,0,0,146.53,2.24,0,0,17.39,0,0,0,0,16.7,0,0,0,0,0,5.08,0,20.61,0
