stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1.07,9.99,119.48,32.27,0,88.13,0,0,0,22.92,3.57,0.98,1.15,0,10.58,0,0.92,0,1.93,81,0,0,43.04,1023.2,10.23,9.02,17.06,28.96,0,6.7,6.1,115.26,7.3,1.87,110.85,329.44,0,0,4.15,0,0
 24-34,0,1.56,8.28,32.08,6.23,0,154.73,0,1.64,0,31.27,5.25,0,3.77,0,5.27,4.34,8.84,2.74,2.65,121.48,0,2.42,63.67,1792.84,5.39,43.38,19.55,0,0,18.31,1.47,0,8.41,1.8,15.04,389.12,0,0,24.1,0,2.51
 36-46,0,0,0,34.81,2.9,0,488.84,2.06,3.6,4.02,84.36,2.14,0.76,3.49,1.92,6.62,2.17,4.23,2.96,0.8,143.33,0.95,3.11,29.11,1910.25,13.02,45.3,12.73,0,0,26.04,2.35,0,2.85,0.57,0,327.28,0,0,10.89,0,7.54
 48-58,0.58,0,0,37.6,2.97,0,612.73,0,0,3.84,115.13,0.37,0,3.34,0.87,2.04,3.38,1.22,2.8,0.96,149.52,0,5.18,47.6,1613.2,3.74,37.63,5.64,0,0,19.45,0,0.92,0,2.49,0,256.81,0,1.9,21,0,5.42
 60-70,0,0,0,42.89,0,0,754.88,0.58,3.84,9.93,87.26,6.19,4.08,0.58,12.33,0,2.15,6.11,5.51,0,148.5,0,6.72,29.15,1552.45,12.18,26.48,3.35,0,4.06,17.58,0,0,0,0,0,176.28,0,2.23,20.47,0.85,18.73
 72-82,0,6.08,0,14.85,11.11,0,495.19,1.74,6.22,6.45,99.27,6.49,0,18.56,3.03,0,0.5,1.87,0,0,174.08,3.05,7.77,11.79,1032.26,1.24,23.9,4.72,0,1.05,7.66,0,0,0,1.5,0,158.14,1.45,7.79,25.27,1.15,0
 84-94,0,0,0,49.8,27.79,0,301.54,1.42,8.71,5.59,67.67,3.53,0,2.02,7.03,6.07,4.82,4.54,0.6,4.29,163.22,1.51,12.88,28.75,744.28,1.89,21.4,5.07,0,0,66.94,0,0,1.62,0,0,66.46,3.14,0,36.98,3.59,0.8
 96-106,0,0.61,0,61.71,24.25,0,311.88,0,4.82,2.01,100.04,10.6,0,5.52,6.17,7.15,4.11,11.94,4.34,2.34,144.08,2.89,5.29,23.8,616.49,1.82,42.81,20.99,0,2.97,52.2,0,0,0,0,0,53.26,3.61,1.2,42.94,11.06,5.48
108-118,0,1.29,0.49,55.6,20.58,6.99,277.44,2.42,12.38,8.44,107.76,10.24,0,3.42,9.34,7.08,16.02,6.62,0.88,5.52,179.82,1.55,4.63,26.69,819.04,4.2,44.87,15.54,0,0,45.38,0,0,3.42,1.08,0,36.51,1.7,0,33.32,1.53,5.29
120,0,0,3.17,47.52,15.48,0,305.93,0,12.13,6.41,165.14,7.42,0,0,2.97,3.83,9.94,11.05,6.79,0,185.2,1.13,4.21,16.69,1220.36,5.09,81.68,41.81,0,7.89,34.33,0,0,0,0,0,20.16,0,2.55,52.07,13.32,1.16
