stage,axial,blastomeres,endoderm,epidermis,eye,glial,mesenchyme,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord
  3-4,0,12.14,0,0,0,0,0,0,0,0,0,0
  5-6,7.58,20.39,0,0,0,0,0,0,0,8.27,0,0
  7-9,0,0,8.85,0,0,0,0,13.77,0,6.98,0,0
 10-12,0,0,0,0,0,0,0,45.1,0,0,0,0
 14-21,0,0,0,0.83,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,2.28,0,1.19,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,1.77,0,0,1.83
 48-58,0,0,0,0,0.54,0,0,1.73,0,0,0,0
 60-70,0,0,0,0,1.2,0,0,3.23,0,0,0,0
 72-82,0,0,0,0,0,0,0,0.81,0,0,0,0
 96-106,0,0,0,0,0,0,3.58,0,0,0,1.19,0
108-118,0,0,0,0,0,0.76,0,5.7,0,0,0.5,0
120,0,0,0,1.08,0,0,0,0,0,0,0,0
