stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.82,0,0,0,9.18,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,7.35,0,0,0,0,0,0,0,0
 14-21,0,0,0.84,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,5.82,0,1.09,0,0,14.71,0,1.86,0,0,0,4.06,0,0
 24-34,0,0,0,0,0,11.8,0,0,0,3.23,0,0,0,12.23,0,0,2.68,14.31,0.64,0,6.26,51.87,2.27,4.61,0,0,0,107.32,0.85,0.66,2.1,0,0,7.35,0,0
 36-46,0,0,0,0,0,6.93,0,0,0,1.8,0.56,1.71,0,11.37,0,0,5.6,26.07,0,0,4.49,113.45,0,0,0,0,0,122.15,0,0,1.99,0,0,6.01,0,10.87
 48-58,0,0,3.97,0,0,16.74,0.52,4.29,2.81,4.89,0.38,0.44,0,9.41,5.02,0,7.46,20.15,0,0,4.5,87.94,0,6.07,6.68,0,0,115.84,0,0,10.44,0,0,12.64,0,1.71
 60-70,0,0,4.8,0,0,22.64,0,18.91,0,3.69,0,0,7.07,18.45,0,0,2.49,31.05,0,0,7.89,153.74,0,3.64,0,0,0,93.98,5.32,0,5.77,0,0,18.46,0,22.95
 72-82,0,0.5,5.06,2.6,0,54.58,0,0.92,2.68,13.8,0.99,0,1.25,8.31,0.5,0,0.64,49.58,0,3.83,4.05,377.28,0,1.95,0,0,0,93.49,0.53,0,8.16,0,0.52,18.2,3.76,0
 84-94,0,0,15.07,4.99,0,55.89,1,3.23,1.93,4.27,2.17,0,1.22,15.85,0.83,0,0,34.77,0.65,0,0.74,408.16,0,3.12,0,0,0,192.59,0.8,0,8.6,0,0,30.31,2.55,2.43
 96-106,0,0,15.09,11.84,1.14,72.56,0,0,6.47,18.89,11.32,0,3.33,19.39,0.74,7.2,0,49.22,0.71,6.08,4.8,356.93,0,2.87,1.05,0,0,218.76,1.04,0,6.69,0.8,1.03,38.25,0.87,0
108-118,0,0,29.03,4.44,0,99.96,0,5.51,3.91,12.15,18.19,0,1.75,28.82,1.47,0,2.84,44.76,2.53,0,6.33,491.65,0,5.51,0,0,1.65,200.05,0.98,0,11.9,1.18,0,34.71,0,2.09
120,0,0,19.11,0,0,77.18,0,8.75,0,31.75,24.95,3.06,10.19,30.34,2.93,6.84,0,24.45,1.56,19.96,11.8,1185.66,3.89,4.09,0,0,0,125.25,0,0,0,0,3.8,35.52,10.63,0
