stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,18.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.07,0,0,0,4.04,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,8.03,15.87,0,3.81,0,0,0,2.98,0,0,0,0,0,0,0,1.73,0,1.08,35.98,0,0,0,1.94,2.77,5.19,0,4.68,4.02,12.81,0,0,0,0
 24-34,0,1.23,0,3.77,1.89,0,3.03,0,0,0.7,0.62,0,0.94,0.63,0,0,0.76,0,14.27,0,0,51.97,1.53,0,0,0,16.4,0,0,0,0,13.22,0,5.81,0,0
 36-46,0,0,0,1.31,0,0,8.1,1.13,0,0,0,0,0,0,0,0,0,0,9.62,0,0.72,97.9,1.14,0,0,0,13.28,0,0.67,0,0,14.42,0,0,0,0
 48-58,0,0,0,0,0,0,18.35,0,0,0,3.13,0,0,0,0,0,0,0,3.3,0.84,0.69,85.31,0,1.1,0,0,0.91,0,0,5.13,0,11.87,0,2.19,0,0
 60-70,0,0,0,0,0,0,36.44,0,0,0,3.64,0,0,0,0,0,0,0,0.69,0,0,73.37,0,2.82,0,0,0.64,0,0,1.25,0,17.25,0,0,0,0
 72-82,0,0,0,5.02,0.72,0,47.66,0,3.62,0,2.6,0,0,0,0,2.88,0,0,7.58,0.57,0.78,49.92,0,1.63,0,0,1.21,0,0,0,0,3.32,0,0.81,0,0
 84-94,0,2.01,0,1.52,0,0,23.34,0,0,2.45,4.26,0,0,0.68,0,0,0,0,10.75,0,0,63.08,0,2.05,1.36,0,3.99,0,0,0,0,10.65,0,0,0,0
 96-106,0,0,0,2.27,0,0,40.6,0,0,0,4.83,0.97,0,0,0,0,0,0,8.92,0,0,27.2,0,0,0,0,3.93,0,0,0,0,1.09,0,0,0.74,0
108-118,0,0,0,0,0.54,0.44,19.1,0,0,1.69,0,1.85,0,0,0,0,0,2.1,3.93,0,0.58,26.58,0,0,0.94,0,4.41,0,0,0.69,0,0,5.48,1.29,0,1.25
120,0,0,0,0,0,0,24.06,0,0,0,1.95,0,0,0,1.87,0,0,0,4.81,0,0,62.71,0,5.36,0,0,0,0,0,0,0,19.76,0,0,0,0
