stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,171.47,2054.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.7,0,0,0,0,0,0,0,0
  5-6,55.2,1120.69,12.33,0,0,0,0,0,0,0,0,15.17,0,0,0,0,0,0,0,0,0,0,82.15,0,0,0,40.43,0,0,0,0,0,0,0,0,0,0
  7-9,22.36,25.79,11.92,0,0,18,0,0,0,0,0,4.41,0,0,0,0,0,0,0,0,0,0,347.45,28.76,0,0,125.7,0,0,0,0,0,0,0,0,0,0
 10-12,0,23.5,27.48,0,0,56.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304.45,6.95,0,0,85.17,0,4.52,0,22.63,0,0,0,0,0,0
 14-21,0,0,0,9.9,2.06,1.44,0,0.95,0,1.38,0,0,0,0,0,0,0,0,3.73,0,0,0,47.29,0,0,0,1.18,0,1.57,4.68,0,2.1,6.24,0,0,2.51,0
 24-34,0,0,0,3.45,0,14.16,0,0,0,3.85,0,0,1.77,0,0,0.7,0,0,8.61,0.61,0,7.11,132.13,0,0.65,2.52,0,0,8.25,0,0,2.06,18.24,0,0,1.93,0
 36-46,0,0,0,2.97,0,26.61,0,0,0.6,4.69,0,0,0,0,0,0,0,0,3.99,0,0,1.62,83.11,0,1.29,15.05,0,0,0,0,0,0,16.79,0,0,0,0
 48-58,0,0,0,7.77,0,9.81,0,1.52,0,2.74,0,0,5.82,0,0,0,0,0,11.01,0,0,0,37.82,0,1.12,0.43,0,0,2.15,0,0,0,14.97,0,0,2.48,0
 60-70,0,0,0,3.63,1.64,25.96,1.28,0,0,5.02,0,0,0,0,0,2.09,0,0,7.59,0,0.63,0,54.65,0,0,0,0,0,7.74,0,4.15,0,1.14,0,0.9,0.57,0
 72-82,0,0,0,0.58,0,7.49,0,0,0,12.96,0,0,0,1,1.22,0,0,0.88,18.06,0,1.12,1.06,23.45,0,0,3.22,0,0,1.94,0,0,0,3.66,0.92,0,2.67,1.4
 84-94,0,0,0,0.62,0,4.1,0,0,0.94,1.2,0,0,0,0,0,0,0,0,4.9,0,1.19,0.76,11.31,1.31,1.11,0,0,0,1.16,0,0.8,0,4.36,0,0,0.93,3.53
 96-106,0,0,0,0,0,8.1,0,0,0,4.93,2.58,0,0.73,0,0,0,0,0,4.37,0,0,0.76,4.76,0,1.22,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,2.3,0,2.31,0,0,0,0.48,0,0,0,0,1.02,0,0,0,9.6,0,0,0,11.44,0,0,0.43,0,0,0,0,0,0,0,0,0,0.96,0
120,0,0,0,0,0,25.29,0,2.21,0,13.51,0,0,1.85,0,0,0,1.54,0,0,0,0,2.18,11.54,0,0,0,0,4.76,0,0,0,0,0,0,0,0,0
