stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,11.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,11.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.03,0,0,0,0,0,0,0
 14-21,0,1.81,0.93,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15.28,0,0.96,0,0,1.37,0.84,2.48,0,0,0
 24-34,0,0,0,1.25,0,0.7,0,0,0,0,0,0,0,0,0,1.77,0,1.51,36.35,1.63,0,0,0,0,0,4.72,0,3.4,0
 36-46,0,0,0,6.87,0,0,0,2.35,0,0,0,0,14.52,0,0,1.5,0,1.69,52.33,0,0,0,2.08,0,0,15.92,0,0,0
 48-58,0,0,0,18.2,0.62,0,0,1.33,0.91,0,0,0,0,0,0,2.84,0,0.67,40.13,0,0,0,8.25,0,0,9.41,0,0,0
 60-70,0,1.4,0,35.91,0,0,0,6.29,0,0,1.29,0,0,0,0,5.62,0,1.08,62.84,0,0,0,0,0,0,17.26,0,0,0
 72-82,0,1.27,0,31.19,0,0,1.8,1.12,0,0,0,0.54,0,0.59,0,9.04,0,2.01,90.87,0,0,0,1,0,1.77,3.81,0,1.7,5.65
 84-94,0,0,0,13.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,32.56,0,0,0,0,0,0,3.86,0,1.84,0
 96-106,0,0,7.47,1.44,0,0,0,0.7,0,0,0,0,0,0,1.03,1.48,1.41,0.81,44.06,0,0.98,0,2,0,0,1.3,1.93,0,1.24
108-118,0,3.83,3.87,11.29,0,0,0,2.91,0,0,1.61,0,0,0,0.84,1.3,0,0,24.03,3.8,0.84,0,0.47,0,0,1.22,0,1.79,0
120,0,8.58,0,21.16,0,0,0,2,0,0,0,0,0,0,0,0,0,0,55.8,0,0,0,1.12,0,0,0,0,0,0
