stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,125.23,2189.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.54,0,0,0,0,0,0,0,0,0,0
  5-6,50.98,908.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.81,0,0,0,8.27,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.58,5.3,0,17.54,0,0,0,40.74,0,0,0,0,20.78,0,0,0,0,0,0,0,0,0,0,0,281.69,21.49,0,0,86.02,0,5.57,13.84,0,0,0,0,0,0,0,0,0
 10-12,0,7.14,0,12.77,0,0,0,15.39,0,0,0,0,355.48,0,0,0,0,0,0,0,0,0,0,0,212.96,34.11,0,0,91.38,0,10.92,0,0,27.85,0,0,0,0,0,0,0
 14-21,0,0,117.57,23.12,57.38,8.96,0,16.49,2.91,0,1.72,4.02,167.88,0,1.15,0,0,0,16.39,0,2.91,0,0,5.93,108.46,103.28,1.51,2.39,7.36,0,31.91,6.55,2.34,1.27,9.05,82.79,0,0,4.13,0,0.85
 24-34,0,0,174.13,14.34,60.8,0,0,41,10.59,3.04,1.65,4.77,10.68,2.39,16.32,19.84,0,8.63,60.67,5.32,62.98,9.08,0,36.63,330.45,184.42,19.07,8.13,0,0,146.04,0.98,0,30.07,0.67,145.48,0,0,13.04,0,5.16
 36-46,0,0,84.63,0.88,21.27,0,0,39.31,6.57,22.61,15.85,2.93,0,3.19,12.24,4.16,1.15,6.28,36.02,19.54,68,14.72,0,21.07,377.65,176.96,37.5,4.31,0,0,261.38,1.36,1.63,22.14,0,82.6,0,0,12.75,0,5.39
 48-58,0,0,37.42,0,26.29,0,0,54.93,20.22,38.11,38.35,1.86,0.75,1.85,5.37,0.38,9.38,9.99,24.98,2.65,185.26,10.22,2.93,28.79,470.27,158.13,20.19,16.68,0,0,217.58,0,0,10.61,0,51.78,0,0.81,4.92,0,24.23
 60-70,0,0,33.94,1.36,44.08,0,1.73,140.09,7.03,25.74,54.63,28.18,0,0.76,18.45,0,17.21,12.82,11.76,0,288.95,6.28,4.05,11.95,672.63,58,30.79,38.67,0,0,112.73,0,0,4.23,0,39.57,0,3.74,5.01,0,7.82
 72-82,0,0,132.62,0,17.15,1.32,17.88,256.68,5.09,42.14,86.47,70.35,0,3.21,23.34,3.83,35.48,16.44,17.64,0,457.78,23.32,8.8,19.91,1006.14,25.52,43.11,38.52,0,1.67,53.32,0,0,5.85,0,34.96,0.53,10.23,10.18,7.36,9.46
 84-94,0,0,136.36,0.6,47.6,1.64,58.03,334.09,12.19,33.49,57.5,105.35,0.76,5.73,30.64,4.14,78.07,32.35,69.18,0.68,513.56,21.83,6.95,27.34,574.39,53.26,27.78,47.6,0,0,162.14,1.4,0,9.25,0,24.14,11.67,18.27,6.46,5.13,9.28
 96-106,0,0,154.98,0,45.49,0,51.69,189.4,2.41,12.8,75.25,141.11,0,3.92,46.61,9.05,130.03,50.92,48.63,0,284.14,11.4,2.43,13.62,606,18.87,39.06,35.45,0,2.6,104.82,2.2,0,4.69,0,31.3,9.16,6.49,17.92,19.35,7.65
108-118,0,0,121.1,4.36,50.03,2.06,147.05,128.47,5.87,7.88,94.47,153.71,0,5.73,28.43,5.23,198.64,30.97,44.71,0.61,256.89,13.75,12.98,11.89,622.34,20.51,46.26,35.67,0,0,54.29,0.42,0,4.51,0,9.91,5.7,7.1,33.32,7.9,9.3
120,1.19,0,108.35,0,74.48,1.53,43.05,85.87,6.17,40.78,98.86,96.6,0,0,42.69,10.79,129.64,22.26,18.29,0,220.09,0,9.94,1.04,747.12,22.69,40.83,25.59,0,2.03,62.69,0,0,3.15,0,14.48,4.22,0,22.24,0,0
