stage,axial,blastomeres,endoderm,epidermis,eye,glial,mesenchyme,muscle,neural,otic,paraxial_mesoderm,spinal_cord
  5-6,8.91,13.14,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,3.7,0
 14-21,0,0,0,0,0,0,0,0,3.44,0,0,0
 24-34,0,0,0,0,0,0,0,0,6.13,1.91,0,1.23
 36-46,0,0,0,0,0,0,0,0,5.06,0,0,0.91
 48-58,0,0,0,0,2.08,0,0,0.47,3.08,0,0,0
 60-70,0,0,0,0,1.66,0,0,0,19.83,0,0,0
 72-82,0,0,0,0,4.98,0,0,0,8.84,0,0,2.77
 84-94,0,0,0,0.7,0,0,4.59,0,5.13,0,0,3.72
 96-106,0,0,0,0,0,1.57,0.67,0,6.44,0,0,0
108-118,0,0,0.74,0.61,2.69,0,0,0,16.83,0,0,0
120,0,0,0,0,0,0,0,0,13.76,0,0,0
