stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
  3-4,51.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,661.95,0,0,0,0,0,0
  5-6,20.61,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.77,0,0,0,0,580.3,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,3.79,0,0,0,0,0,0,0,51.76,0,0,0,0,38.24,0,0,0,0,0,0
 10-12,0,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213.42,0,0,0,6.23,0,0,0,0,0,0,0
 14-21,0,0,1.75,40.47,0,0,0,0,0,0,0,0,105.63,0,0,0,0,0,4.89,0,0,0,0,0,0.91,0,0,0.8,0,0
 24-34,0,0,0,24.26,1.27,0,0,0.69,0,0,0,0,44.18,0,0,3.64,4.72,0.92,11.15,0,0,0,0,3.22,0,1.45,0.76,1.3,0,0
 36-46,0,0,0.56,14.53,0.77,0,0,0,0,0,0,0,0.67,0,3.69,0.84,0,0.56,1.66,0,0,0,0,10.74,0,0,0,0,0,0
 48-58,0,0,0,13.81,2.62,0,0,0,2.65,0.56,0,0,0,0,0,0.92,0,0,11.51,0.94,0,0,0,48.08,0,0,0,0.8,0,5.16
 60-70,0,0,0,3.12,3.43,0,0,0,0,0,0,0,0,3.95,0,1.89,0,0,15.23,1.75,0,0,0,66.87,0,0,0,0,0,2.81
 72-82,0,0,0,0.58,6.68,0,0,0,6.58,1.04,0,0,1.06,7.06,0,5.67,0.56,0,1.96,0,0,1.06,0,46.88,0,0,0,0,0,13.53
 84-94,0,0,0.75,0.56,11.81,0,0,3.89,0,0,0,3.13,0.71,10.01,0,0.97,0,0,0,2.69,0,0,0,74.96,0,0,0,0,0.7,18.33
 96-106,0,0,2.19,2.11,16.83,0,3.75,0,1.72,1.38,0,0,3.1,12.81,0,18.22,4.21,0,17.94,0,1.59,0,0,511.47,0,0,0,0,1.83,9.89
108-118,0,0.44,5.95,0.99,10.08,0,6.1,0,0.83,4.36,0,7.03,7.1,30.87,0,18.25,2.71,0,9.6,1.1,0,0,0,403.53,0,0,0,1.1,0,8.85
120,0,0,5.99,1.47,4.86,1.49,8.73,0,0,0,0,2.62,2.72,9.53,0,0,12.66,0,25.71,2.59,0,0,0,484.37,0,0,0,0,0,7.91
