stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.79,0,0,0,0,0,0,7.18,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25,0,24.95,0,0,0,0,0,0
 14-21,0,1.11,2.22,0,0,0,0,0,52.89,0,0,0,0,0,2.7,0,0,0,0,2.38,0,0,0
 24-34,0,0,1.46,0,0,0,0,0,127.38,0,0,3.9,0,0,13.31,0,0,0,0,1.96,0,0,0
 36-46,0,0,0,0,0,0,0,0,200.69,0,0,0,0,0,6.23,0,0,0,0,0,0,0,0
 48-58,0,0,0,7.06,0,0,0,0,221.29,0,0,0,0,0.47,8.51,0,0,0,0,3.46,0,0,0
 60-70,0,0,0,0,0,0,0,0,191.81,0,0,1.14,0,0,13.25,0,0,0,0,0,0,0,0
 72-82,1.15,31.55,0,2.86,0,0.96,0,0,224.59,0.73,0,1.37,0,0,5.6,0,0,0,0,0,0,0,7.6
 84-94,0,15.81,7.33,0,0,0,0,0,346.99,0,0,1.46,0,0,36.97,0,0,0.65,0,0,0,0,0
 96-106,0,99.48,3.39,1.5,0,0,5.65,0,430.21,2.31,3.98,1.75,0,0,3.03,0,0,0,0,0,4.28,4.33,0
108-118,0,70.71,1.98,9.55,0.44,0,4.2,0,370.34,5.43,0.89,3.04,1.59,0.73,15.99,2.73,0,0,0.62,0,0,1.65,0
120,0,68.96,0,0,3.85,0,8.56,0,483.66,0,0,0,0,1.32,6.94,0,0,11.75,0,0,0,8.75,0
