stage,blastomeres,erythrocytes,eye,fast_muscle,fin_epithelia,gut,heart,liver,melanocytes,mesenchyme,muscle,neural,periderm,pronephros,spinal_cord,vasculature,xanthophores
  3-4,24.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,14.39,0,0,0,0,0,0,0,0,0,5.44,0,0,0,0,0
 14-21,0,93.52,0,0,0,0,3.33,0,0,0,0,7,0,0,0,140.33,0
 24-34,0,20.81,0,0,0,0,0,0,0,0,0,7.74,0,0,0,387.13,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,9.3,0,0,0,72.2,1.06
 48-58,0,0,1.42,0,0,0,0,0,0,12.07,0,0,0,0,0,14.19,0
 60-70,0,0,2.12,0,0,0,0,0,0,35.15,0,1.08,0,0.72,0,4.41,0
 72-82,0,0,2.64,0,0,0,0.5,0,0,111.17,0,1.96,0.79,27.24,0,9.07,0
 84-94,0,0,12.28,0,0,3.39,0,0,0,60.53,0,5.34,0,124.25,0,13.86,0
 96-106,0,0,9.47,0,0.56,0,0.58,8.58,0,94.54,0,18.87,0,237.12,5.36,14.77,0
108-118,0,0,3.83,0,0,0,0.49,7.47,1.75,89.92,0.61,1.07,0.44,266.26,0,10.2,0
120,0,1.64,0,5.8,0,0,0,3.84,0,113.13,0,3.56,0,216.52,11.27,2.56,0
