stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,97.81,729.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.19,0,0,0,0,0,0,0,0,0,0
  5-6,31.33,865.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.47,15.57,0,0,19.93,7.83,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,9.52,0,0,13.04,0,0,0,0,7.87,0,0,0,0,0,0,0,0,162.65,9.1,0,0,47.93,0,7.32,0,0,0,0,0,0,0,0,0
 10-12,0,11.68,0,55.86,0,0,12.33,0,0,0,0,0,0,0,0,0,0,0,0,0,2064.12,14.14,0,0,62.54,0,0,3.57,91.29,0,3.24,0,0,0,0,0
 14-21,0,0,1.24,9.53,1174.95,12.9,3.4,0,0,0,143.17,0,0,31.83,0,0,0,0,0,4.25,29.46,1.42,17.79,0,10.18,4.24,0,6.45,1.38,0,3.26,11.21,0,0,0,0
 24-34,0,0,0,5.58,3.45,0,101.26,0,0,1.45,21.65,0,0,2.76,0,0,1.93,0.71,0,0.78,74.26,0,96.39,0,0,0.7,0,0,0,0,0.7,17.14,0,0,0,0
 36-46,0,0,0.73,0,0.61,0,171.24,0,0.56,2.38,0,0,0,0,0,0,1.04,0,0,0,130.34,0,134.79,0,0,0,0,0,0,0.68,0,20.2,0,0,0,0
 48-58,0,0,0.86,0,4.6,0,97.63,0.72,0,3.3,0,0,0,0,0,5.57,2.32,0.59,0,0,296.37,0,142.53,0,0,0,0,0,0,0,0,22.8,0,0,0,0
 60-70,0,0,0.95,0,0,0,599.78,0,0,10.24,0,0,0,0,0,0,5.11,0,0,0.7,275.56,0,136.55,0,0,0.71,0,0,0,0,0,35.33,0,0,0,0
 72-82,0,0,0.87,0,10.65,5.84,1634.46,0,4.72,19.38,1.08,0,1,0,3.21,0,9.3,0,5.07,0,308.03,0,130.23,0,0,0.54,0,0,0,0,0,15.14,6.19,0.89,0,0
 84-94,0,0,1.44,0,8.98,2.07,1874.28,0,0,6.79,0,0,0,0,0,0,10.47,0,2.67,0.96,201.51,0,89.14,0,0,11.34,0,0,0,0,0,6.14,0,0,0,0
 96-106,0,0,3.25,0,7.36,22.67,3279.91,1.02,0,22.24,1.72,0,2.46,0,0,8.1,17.82,0,0.62,0,219,0,170.56,0,0,8.43,0,0,0,1.79,0,1.98,1.13,4.76,2.69,3.92
108-118,7.9,0,0.8,0,10.74,2.64,3161.42,0,2.7,18.08,1.61,0,0,0,0,0.97,22.64,1.71,3.97,0.76,423.49,1.78,97.08,0.73,0,0.56,0,0,0,0,0,10.47,1.76,0.5,1.17,1.23
120,0,0,0,0,14.89,0,3052.21,0,3.44,34.5,0,0,16.58,2.21,0,0,4.11,0,11.39,0,430.82,0,45.53,1.1,0,3.77,0,0,3.97,0,0,12.94,0,0,0,3.44
