stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pronephros,spinal_cord,xanthophores
  3-4,14.95,857.5,0,0,0,0,0,0,0,0,0,0,0,0,0,36.42,0,0,0
  5-6,37.45,875.12,0,0,0,0,0,0,0,0,0,0,11.55,0,0,63.53,0,0,0
  7-9,9.69,9.31,15.47,0,0,4.42,0,35.64,0,0,0,0,42.5,0,12.94,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,17.97,0,16.27,0,0,0,0
 14-21,0,0,0,1.13,0,1.6,0,0,0,0.8,0,0,2.03,0,0.95,0,0,0,1.44
 24-34,0,0,0,0,0,0,0,0,0,16.85,0.75,1.43,9.69,1.32,0,0.72,1.59,3.93,80.51
 36-46,0,0,0,0,0,2.23,0,0,0,1.47,0,0,1.59,0,0,0,0,3.66,39.6
 48-58,0,0,0,0,0,0.96,0,0,0,4.45,0,0,1.48,0,0,0,0,0,36.72
 60-70,0,0,0,0,0,0,0.63,0,0,1.94,2.38,0,1.17,0,0,0,0,0,9.36
 72-82,0,0,0,0,0,0.91,1.09,0,0,1.79,0,0,1.64,0.51,0,0,0,0,4.58
 84-94,0,0,0,0,0,0,0,0,2.32,0.91,1.93,0,0.72,0,0,0,0,0,18.56
 96-106,0,0,0,0,0,1.18,4.88,0,0,0,1.79,0,0,0,0,0,0,0,15.5
108-118,0,0,0,0,0.66,0,0,0,0,0,0,0,2.93,0,0,0,0,0,15.96
120,0,0,0,5.06,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0
