stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,58.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,34.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,13.09,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.91,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.96,0,0,0,0,1.64,0,0,0,0
 24-34,0,0,0,0,1.92,0,0,0,0,0,0,18.69,0,0.86,1.29,0,0,0,6.74,0,0,0,0.74,0,3.31,0,0,0
 36-46,0,0,0,0,0,4.86,0,0,0,0,0,2.21,0,1.21,0,0,0,0,2.95,0,0.63,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.94,0,0,0,0,0,2.62,0,0,1.08,0,1.23,1.9,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,2.05,0,0.63,0,0,0,0,0.59,0,0,0,0,0.83,0,0,0,0,0,0,0,0
 72-82,0,0.68,0.49,0,0,0,0,0,0,2.61,0,0,0,0,6.8,0,4.61,1,0,0,0,4.01,0,0,0,0.5,0,0
 84-94,0,0,0,0,0,0,0.93,0,1.29,2.32,1.5,0.92,1.2,0,15.61,0,4.74,0,0,1.44,0,1.65,2.22,0,0,0,0,0
 96-106,0,0,0,0,0.71,0.7,0,0.92,1.4,0,2.94,0.59,1.32,0,14.76,0.78,18.25,1.84,0,0.78,0,0.83,2.13,0,0,0,0.89,0
108-118,0,0,1.66,0.93,0,0,0,2.43,1.01,1.51,1.54,0.45,0,0,12.98,0,14.88,0,2.84,0.46,0,0,0,0,0,0,1.73,0.58
120,0,0,0,0,0,1.13,0,0,2.33,1.67,2.26,1.49,5.57,0,19.71,0,12.76,0,2.23,0,0,0,0,0,0,0,0,0
