stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature,xanthophores
  3-4,121.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.13,0,0,0,0,0
  5-6,496.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.21,13.47,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.62,3.62,0,4.94,0,0,0,0,0,0
 10-12,5.81,0,0,5.04,0,0,0,0,0,0,0,0,0,0,0,17.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.99,0,0,0,0,0,0,0,0,0,1.08,0,0,1.07,0,0,0,0.96,0.96,0,0,2.71,0
 24-34,0,0,0,11.01,0,0,0,0,0,0,0,0,0,0,1.32,1.17,0,0,0,1.72,0,0,0.81,4.62,0
 36-46,0,0,0,11.68,0,0,0.61,0,0,0,0,0,0,0,0,1.43,0,0.72,0,6.46,0,0,1.45,0,0
 48-58,0,1.44,0,93.93,0,0,0,0,0,0.38,0,0,2.65,0,0,7.4,0,0,0,1.22,0,0,0,0,0
 60-70,0,0,0,503.59,0,0,4.12,0,0,0,0,0,0,0,0,19.6,0,0,0,0.75,0,0,1.73,0,7.94
 72-82,0,0.52,0,679.09,0,0,1.37,0,0.78,0,0,5.43,3.84,3.96,0,7.54,0,0,0,0.82,0,0.66,3.94,0,0
 84-94,0,0.57,3.7,741.73,0,0,1.24,0,0,0,2.31,0,3.39,0,0,3.32,0,0,0,0.6,0,0,1.54,0,0
 96-106,0,0.69,6.97,512.24,0.86,0,0,0,0,0,0,0,2.79,0,0,17.82,0,0,0,2.24,0,0,0,0,0
108-118,0,1.73,0,396.77,0,0,6.71,3.33,0.63,0,0,0.97,8.58,0,2.26,15.04,0,0,0,0,0,0,0,0,0
120,0,3.24,0,529.24,0,3.6,7.36,0,0,0,0,0,3.65,0,0,18.98,0,0,0,3.22,0,0,0,0,0
