stage,epidermis,eye,glial,mesenchyme,muscle,neural,olfactory,pronephros,spinal.cord,vasculature
 14-21,1.3,0,0,0,0,2.1,0,0,1.09,0
 24-34,0,0,0,0,0.66,0.61,0,0,1.23,0
 36-46,0,0,0,0,0,4.05,0,0,2.15,0
 48-58,0,2.52,11.32,0.66,0,11,0,0,1.4,0.5
 60-70,0,0.72,0,0.8,0,15.76,2.27,0,0,0
 72-82,0,6.4,0,0.78,0,15.84,0,0,2.16,1.01
 84-94,0,0,0,0,0,0,0,0,0.66,0
 96-106,0,0.67,0,0,0,0,0,0,0,0
108-118,0.42,2.13,3.54,0,0,6.6,0.66,0.48,0,0
