stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,2.33,6.71,77.86,5.34,19.54,0,0,13.13,5.23,0,0,0,3.16,0,0,0,0.85,19.89,0,0,6.23,930.42,32.43,0,100.87,11.71,0,0.97,3.11,8.28,1.04,1.5,9.07,311.56,0,0,6.96,0,0
 24-34,4.19,2.22,14.84,0,52.12,3.58,0,29.12,0,0,0,0.69,2.73,0,3.05,0.76,1.77,63.19,2.72,0,12.33,2006.36,2.74,6.4,76.71,0,0,3.06,0,0,0,0,2.27,402.32,0,0,13.06,0,0
 36-46,0.95,0,5.64,0,67.28,6.59,0.96,84.86,0,0,1.56,0,0.77,0,1.39,0,0,57.63,0,1.45,10.04,1368.58,2.12,0,90.89,0,0,2.91,0,2.07,0,0,0,295.96,0,0,6.09,0,0
 48-58,0,0,4.45,0,72.12,1.15,1.41,115.26,0,0,2.39,3.03,0,0,1.97,2.95,0.98,37.66,0,0.91,5.28,648.77,0,0.9,94.97,0,0,2.23,0,0,0,0,0,163.58,0,0,6.63,0,5.23
 60-70,0,0,0.69,0,84.73,5.27,1.98,95.26,3.74,4.94,1.33,1.92,0,0,0,0,0,37.05,0,0.7,5.88,420.56,0,0,83.17,0,1.53,0.81,0,0,0,0,0,59.4,0,2.29,1.95,0,6.3
 72-82,0.68,0,1.16,6.81,86.01,0,0,59.39,3.06,0,0,0.51,2.52,0,1.37,0,0,64.53,5.11,1.35,2.3,282.99,0,1.61,135.08,0,0,1.29,0,0,0,0,0,19.53,0.88,1.37,2.49,0.56,0
 84-94,0.66,0,7.94,9.17,52.14,0.82,3.19,57.6,6,0,0.88,1.25,1.18,0,0,10.97,4.33,48.56,0,0.57,5.43,168.5,0,0,150.02,0,1.2,1.91,0,0,0,0,0,19.23,1.65,1.18,6.23,0,2.12
 96-106,1.05,0,5.81,12.08,65.46,0,0.84,67.83,16.77,0,2.06,0,0.84,0.71,2.21,0,0.77,48.82,1.91,4.07,4.21,177.33,0.86,2.49,125.93,0,0,5.52,0,0,0,0,0,7.5,1.61,2.24,6.92,2.52,0
108-118,0,0,10.42,10.55,48.82,3,3.01,68.29,26.18,0,3.32,2.27,2.63,0,2.87,0,0,40.58,0,0,1.88,225.95,1.85,1.45,198.85,0,1.49,1.5,0,0,0.48,0,0,5.55,0.42,2.7,3.6,0.54,0
120,1.73,0,7.96,2.94,22.99,0,0,30.23,16.92,0,3.65,5.68,0,0,4.13,0,3.89,62.19,0,8.99,0,278.33,6.59,0,198.9,0,0,0,0,0,0,0,0,0,0,0,3.25,0,0
