stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,98.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,983.8,0,0,0,0,0,0,0,0
  5-6,9.93,76.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1304.64,0,0,0,0,0,0,0,0
  7-9,15.94,0,0,0,0,0,0,33.11,0,0,0,0,9.24,0,0,0,0,0,0,0,0,0,0,144.49,35.54,0,0,21.52,0,147.77,0,0,0,0,0,0,0,0
 10-12,0,0,0,40.67,0,4.95,0,19.8,0,0,0,0,28.59,0,0,0,0,0,0,0,0,0,0,87.07,37.11,0,0,46.74,0,31.39,0,7.26,0,0,0,0,0,0
 14-21,0,0,2.86,5.07,37.96,0,0,0,0,0,0,14.58,38.08,0,0,18.94,0,0,0.93,3.16,5.12,0,1.73,9,41.52,0,1.97,2.2,0,156.88,0,0,0,21.84,0,0,0,0
 24-34,0,0,1.75,0,5.37,0,0,3.27,4,1.21,0,0,4.44,0,0,49.47,0,1.91,0,2.33,11.85,0,3.25,46.55,25.6,6.46,0.76,0,0,105.61,0,0,0,8.77,0,4.42,0,0
 36-46,0,0,0,0,3.71,0,0,2.24,0.81,1.19,0,0.72,0,0,0.56,10.98,0,6.06,0,2.84,0.72,0,0,109.07,6.08,1.01,2.49,0,0,177.97,0,0,0,6.99,0,0,0,0
 48-58,0,0,0.54,0,11.03,0,0,5.79,4.09,0.57,0,0.49,3.27,0,0,25.36,0,3.15,0,4.5,2.52,0,0,88.25,12.54,1,1.6,0,0,173.33,0,0,0,1.85,0,0,0,0
 60-70,0,0,0,0,0.82,0,0,11.11,1.27,0,0.64,1.41,0,0,0,1.72,0.66,2.68,0,17.99,2.07,0,0,85.35,2.15,3.57,0.62,0,0,108.57,0,0,0,16.6,0,6.62,0,0
 72-82,0,0,1.07,0,13.81,0,0,19.68,0,0.89,2.84,10.98,0.5,0,0,3.7,0,6.75,12.67,7.17,4.71,0,2.41,135.76,1.64,6.06,5.19,0,0,51.16,0,0,2.68,20.33,6.12,0,0,0
 84-94,0,0,9.15,0,21.39,0,0,9.55,3.09,0,5.71,41.1,0.76,0,0,10.63,0,11.64,0.59,4.47,4.7,2.99,1.23,120.38,2.12,4.45,8.97,0,0,257.91,0,0,0,2.98,8.86,0,0,0
 96-106,0,0,0,0,27.87,8.85,0.97,40.01,3.37,0,18.35,45.95,0,0,0,7.92,0,12.14,0,8.11,24.77,0,0,162.72,3.28,7.07,1.22,0,3.14,141.52,2.06,0,0,3.82,21.75,0,1.13,0
108-118,0,0,0.91,0,48.9,3.36,0,16.82,6.38,0,17.38,53.58,0,0.88,0,15.22,0,18.17,0.95,8.11,2.63,0,0,140.27,6.17,2.88,10.15,0,0,155.87,0,1.05,0,11.86,27.78,0,0,7.49
120,0,0,0,0,29.23,0,0,3.25,1.73,0,39.01,24.87,0,0,0,10.03,0,10.03,0,4.04,27.54,0,0,180.78,4.9,10.58,1.25,0,0,77.49,0,0,0,25.38,8.65,0,0,0
