stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,202.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.55,0,0,0,0,0,0,0,0
  5-6,6.36,130.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.33,0,38.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,68.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.66,0,0,0,20.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,59.01,0.91,9.69,0,0,0,0,1.04,0,0,0,0,0,0,0,62.89,0,0,17.23,51.87,0,0,0,4.26,0,0,0,0,7.08,0,0,0,0,0
 24-34,0,0,0,33.83,0,11.81,0,12.26,3.01,0,0,0,0,0,0.64,0,0.68,0,50.91,0.84,0,10.55,73.6,2.55,0,1.09,0,0,3.66,0,1.93,11.26,0,0,2.46,0,1.93
 36-46,0,0,0,13.5,0,56.45,0,6.03,0,3.24,0,5.13,0,0,3,0,0,0,66.44,0,0.55,15.89,89.72,0,0,1.73,0,0,1.97,1.02,0,24.65,0,0,1.67,0,0
 48-58,0,0,0,16.68,0,62.34,0,6.25,1.95,9.41,0,1.23,0,0,0.9,0.46,0,4.05,105.68,0,1.42,11.04,22.99,2.54,0,3.03,0,0,0.69,0,0,4.95,0,0.51,0,0,5.87
 60-70,0,0,0,15.44,0,144.38,0,9.34,0.62,19.73,0,0.93,0,0,0,1.29,0,0,110.75,0,5.67,8.56,49.15,0,0,4.2,0,1.9,0,0,0,8.83,0,1.8,3.81,0,0
 72-82,0,0,0,5.43,0,64.01,0,0,0.91,16.36,0,0,0,0,1.24,2.07,1.2,0,92.93,0,6.83,3.66,16.15,0.73,0,1.01,0,0.84,0,0,0,1.23,0.78,2.21,9.82,2.73,1.94
 84-94,0,0,0,24.13,0,99.16,0.76,3.91,4.77,28.22,0.57,2.61,0,0,0,0,0,0,96.48,0,14.35,2.3,20.48,0,0,5.06,0,0.77,1.95,0,0,0,1.33,4.38,0.59,10.1,9.05
 96-106,0,0,0,11.57,0,87.79,0,4.73,2.03,13.04,0.67,0,0,0,1.31,0,0,0,47.87,0,6.72,4.81,17.85,0,0,5.62,0,6.24,0,0,0,0,0.62,1.5,0,7.08,0
108-118,0,0,0,19.68,0,49.01,0,9.26,0.72,11.51,1.16,0,2.08,0.77,4.03,0,0,0,56.09,0,10.03,9,13.06,0,0.7,7.42,0,1.1,0,0,0,0,0.42,1.79,0.65,7.22,1.99
120,0,0,0,27.76,0,18.4,0,7.61,0,9.97,2.59,0,1.96,1.36,3.25,0,0,0,27,0,10.15,3.64,4.81,0,0,6.71,0,13.03,0,0,0,0,4.69,0,11.17,5.81,1.64
