stage,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,57.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.53,0,0,0,0,0,0,0
  5-6,159.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.99,0,0,0,0,0,0,0,0,0,0
  7-9,0,12.74,0,0,5.55,0,0,0,0,0,3.55,0,0,0,0,0,0,0,0,0,123.88,0,14.14,0,0,0,0,0,0,0,0
 10-12,0,16.59,0,0,0,0,0,0,0,0,4.74,0,0,0,0,0,0,0,0,0,26.43,0,10.59,0,0,0,0,0,0,0,0
 14-21,0,0,2.69,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,1.18,0,5.44,19.5,0,0.84,6.92,3.23,1.04,2.71,5.34,0,0,0
 24-34,0,0,3.94,0,1.77,0,1.2,0,4.78,0,0,0,0,0,0,0.76,0,1.23,0,0,78.11,0,0,4.84,0,0,0.63,29.72,1.08,0,0
 36-46,0,0,0,0,2.71,9.66,1.17,0,0,0,0,0.99,0,0,0.57,0,0,5.83,0.89,6.2,67.76,0.72,0,17.37,0,0,0,11.44,0,0,0
 48-58,0,0,0,0,21.02,0,0,0,3.08,0,0,0,0,0,0,0,0.54,14.93,0.39,3.81,123.64,1.22,0,7.81,0,0,0,19.06,0,0,3.31
 60-70,0,0,9.06,0,27.46,0,0,0.89,5.31,0,0,0.78,0,0,0,0,0,11.43,0,7.01,135.96,1.02,0,4.67,0,0,0,6.05,0,0,0
 72-82,0,0,2.87,0,42.75,0,0.5,0,7.46,0,0,1.03,0.73,0,0,0,0,13.92,0,0,123.21,0,0,5.31,0,0,0,6.19,3.18,0,0
 84-94,0,0,1.25,0,18.22,0,1.21,1.43,0.96,0,0,0,0,0,0,0,0,10.12,0,0,77.1,0,0,8.17,0,0,0,10.83,0,2.06,0
 96-106,0,0,3.32,0,45.37,0,0,0,4.73,0,0,0,0,0.75,0,0,0,10.18,0,0,47.28,1.08,0,8.39,0,0,0,1.68,1.3,0,0
108-118,0,0,1.44,0.82,14.93,0,0.81,0,6.51,0.52,0,0,0.98,0,0,0,0,18.26,0,0,59.96,0.98,0,19.78,0,0,0,3.77,4.02,0,0.68
120,0,0,0,0,24.36,0,0,0,0,2.67,0,0,4.25,0,0,0,0,7.06,0,0,113.87,0,0,4.37,0,0,0,0,0,0,0
