stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,10.19,378.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.8,0,0,0,0
  5-6,12.85,300.14,0,0,0,0,0,0,0,0,0,0,17.57,0,0,0,6.57,0,0,0,0
  7-9,22.74,0,0,0,0,0,0,0,0,0,0,0,72.58,3.24,0,20.14,0,0,0,0,0
 10-12,0,0,3.04,0,14.01,0,0,3.42,0,0,0,0,38.67,0,0,4.28,0,7.34,0,0,0
 14-21,0,0,0,1.9,1.09,0,0,0,0,0,1.02,1,10.29,0,0,0,0,0,3.25,1.94,0
 24-34,0,0,0,1.13,2.07,0,0,0,0,0,2.42,0.6,21.54,0,0.69,0,0,0,2.44,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.36,0,4.64,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,2.27,0,0,0,0,0,0.44,0,3.2,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.97,1.07,0,0.79,0,0,0,0.61,0,25.26,0,0,0,1.39,0,3.07,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0.55,0,1.29,0,0,0,0,0,1.87,0,0
 84-94,0,0,0,0,10.27,0.64,0.8,0,0.56,0,0,0,1.5,0,1.29,0,0,0,2.11,0,0
 96-106,0,0,0,0.68,7.89,0,0,0,0,0.56,0,0,2.09,0,1.99,0,3.53,0,0,0,0.68
108-118,0,0,0,0,0,0,0,0,0,0,2.41,0,2.72,0,0,0,0.48,0,0,6.32,0
120,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0,1.11,0,0,0,0
