stage,epidermis,eye,fin.mesenchyme,glial,gut,melanocytes,mesenchyme,muscle,neural,presomitic.mesoderm,spinal.cord,vasculature
 10-12,0,0,0,0,0,0,0,0,27.51,0,0,0
 14-21,0.89,0.99,0,0,0,0,0,0,0,1.85,2.5,0
 24-34,0,0,0,0,0,0,0.71,0,2.71,0,0.7,0
 36-46,0,0.64,0,0,0,0,1.3,0,1.19,0,0,0
 48-58,0,0,0.59,0.65,0,3.82,0.44,0,0.56,0,0,0
 60-70,0,3.68,0,0,0,0,2.27,0,5.87,0,9.88,0
 72-82,0,0,0,0,0,0,0.84,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,3.82,0,0,0
 96-106,0,0,0,0,0,0,0,0,3.84,0,0,0.88
108-118,0,0,0,0,1.72,0,0,0.49,0,0,0,0
120,0,0,0,0,0,0,1.04,0,2.88,0,0,0
