stage,epidermis,eye,fast.muscle,glial,gut,immune,melanocytes,mesenchyme,neural,paraxial.mesoderm,pronephros,vasculature
  7-9,0,0,0,0,0,0,0,0,4.74,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,5.51,7.7,0
 14-21,0,0,0,0,0,0,0,0,1.04,0,1.14,0
 24-34,0,0,0,0,0,0.71,0,0,3.66,0,1.71,21.46
 36-46,0,0,0,0,0,3.3,0,1.46,3.52,0,10.46,13.33
 48-58,0.73,1,0,2.36,0,0.96,4.98,0,1.32,0,1.41,8.55
 60-70,0,0,0,0,0,7.17,0,0,4.47,0,1.86,2.14
 72-82,0,8.23,6.88,0,0,1.03,0,0.62,8.25,0,1.65,4.48
 84-94,0,0,1.33,0,0.63,6.46,0,0,0.94,0,6.09,8.8
 96-106,0,0,0,0,0,4.5,0,0,3.58,10.66,5.26,15.11
108-118,0,0,0,0,0,0.62,0,0,2.38,0,4.9,17.83
120,0,0,2.98,0,8.27,0,0,0,0,0,2.11,28.62
