stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,lateral.line,liver,mesenchyme,mucous,neural,periderm,pronephros,slow.muscle,spinal.cord,visceral.smooth.muscle
  3-4,13.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.06,0,0,0,0,0
 14-21,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,1.62,0,0,0,0,0,0,2.52,2.05,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,1.87,0,3.7,0,0.74,0,3.69,0
 60-70,0,0,0,12.73,0.62,0,0,0,0,0,0,0,0,0,3.99,6.43,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,5.66,29.98,0,0,0.62,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.17,0,0,0,0.81
 96-106,0,0.62,0,1.76,0,0,0.75,0,0.56,1.6,0,0,3.07,0,3.48,18.16,0,0,1.12,0
108-118,0,0.56,0,0,0,0,0,0,0,0.86,0,5.29,0,0.42,2.14,21.96,0,0,0,0
120,0,7.13,0,0,0,1.05,0,0,0,3.56,1.74,0,5.6,0,1.33,70.77,0,1.52,0,0
