stage,axial,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,7.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.68,0,0,0,0,2.28,0,3.5,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,5.02,3.85,0,0,0,5.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,31.94,0,0,0,0,0,2.31,0,0,0,0,0,0,0,0,0,0,0,0,0,5.63,0,0,0
 72-82,0,7.34,0,0,12.58,0,0,0,146.59,9.24,0,0,0,0,0,5.61,4.01,0,4.36,0,0.93,0,0,0,0,0.61,0,3.59,0.75,0.5,0,0
 84-94,0,9.39,8.67,0,7.91,1.21,6.8,0,485.39,0,0,0,0,10.58,10.36,0,12.2,0,2.26,0,0,1.63,0,5.64,1.4,0.81,0,1.19,10.65,0,0,0
 96-106,0,40.05,8.86,0.71,34.18,10.58,0.64,11.71,1382.72,0,0.57,5.36,11.74,2.07,2.5,29.88,29.04,0.67,71.4,1.38,0,1.01,0,15.13,0,0,0,4.18,22.29,1.6,1.43,5.54
108-118,0,59.82,8.18,0,18.57,2.73,4.18,5.69,1989.51,0,0.86,0,0,6.77,11.27,16.88,187.06,0.92,55.41,0,1.5,1.95,0,11.09,0,0,0.53,0,52.9,0,2.37,12.19
120,0,45.83,0,0,29.27,3.86,0,14.58,1277.6,0,0,55.36,14.37,0,1.61,11.17,49.09,1.27,79.67,0,0,0,0,1.61,0,0,0,9.15,8.32,0,0,24.55
