stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.48,311.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.43,0,0,0,0,0,0,0,0,0,0
  5-6,20.13,250.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.01,7.23,0,134.4,0,0,8.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.72,16.51,0,0,21.1,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,19.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.88,141.46,0,0,75.03,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.8,4.72,42.28,0,6.92,0,4.75,0,3.52,0,0,0,0,0,0,0,0.91,0,0,2.91,26.07,224.29,0,0,10.19,0,4.07,3.07,1.19,0,2.43,4.72,0,0,0,0,0
 24-34,0,0,0,0,146.51,0,21.59,0,41.05,4,4.05,0,0,0.61,0,0,0,0,33.37,0.65,0,69.55,58.58,15.54,0,0,0,2.91,0.7,0,39.15,0,18.64,25.22,0,0,0,0,3.7
 36-46,0,0,0,0,118.46,0,26.11,0,18.19,13.47,3.48,0,0,0,0,1.84,0,0,274.19,0,0,114.2,64.37,25.11,0,0,0,0,7.12,0,12.71,0,0,35.97,0,0,2.2,0,4.15
 48-58,0,0,0,0,100.84,0.4,29.95,0,11.01,18.21,4.8,0,0,0,0,2.21,0,0,774.57,0.45,0,101.54,91.97,3.23,0,3.12,0,0,0,0,11.03,0,0,51.19,0,2.7,1.99,0,13.86
 60-70,2.52,0,0,0,144.13,0,36.82,0.67,12.09,3.61,23.76,0,0,0,0,18.35,2.13,0,887.14,0,0,101.54,99.88,4.91,0,0,0,0,0,0,12.78,0,0,16.71,0,4.66,0,0.57,5.51
 72-82,0,0,0,0.56,115.65,5.84,84.6,0,8.71,14.79,130.94,0,5,1.22,0.53,13.5,0,0,1755.1,2.99,0.51,107.93,107.89,3.35,0,3.03,0,0,0,0,4.07,0,0,22.96,6.5,48.97,0,3.63,25.06
 84-94,0,0,0,0.95,206.68,0.96,120.56,0,13.71,12.2,99.87,0,3.81,0,2.12,20.68,0.73,4.95,1419.69,4,3.04,119.31,85.14,5.44,0,6.71,0,0,0.69,0,12.84,0,0,9.81,0,80.92,4,7.18,6.96
 96-106,0,0,0.81,1.75,158.53,8.02,85.11,0.97,10.08,20.63,152.14,0,4.81,1.55,0,26.29,0,3.77,1790.9,4.26,3.5,57.05,172.13,2.92,2.46,9.04,0,2.06,5.51,0,1.92,0,0,0,1.07,208.86,15.51,10.99,12.01
108-118,0,0,0,0.93,145.32,1.86,103.45,2.44,9.46,20.09,137.82,0.55,0.86,0,1.57,28.7,0,1.06,1673.36,1.14,3.46,44.13,211.93,8.06,0,4.19,0,8.14,2.02,0,1.7,1.02,0,13.51,5.48,181.96,2.66,10.46,24.81
120,0,0,0,0,93.34,0,114.66,12.08,6.58,17.76,118.67,1.08,0,3.32,0,19.49,0,1.84,1322.53,2.89,4.16,27.53,156.77,6.89,1.46,2.11,0,0,0,0,2.27,0,0,0,0,143.74,0,4.28,30.46
