stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,0,3.12,0,0,0,0,0,0,0,0,0,0,3.06,0,0,0,0.83,1.17,0,0
 24-34,0,10.71,0.89,0,0,0,0.59,2.08,0,0.86,0,0.66,12.74,0,0.63,0,0,3.55,0,5.68
 36-46,0,4.63,0,0,0,0,0,0,0,0,0,0,4.23,0,0,0.65,0,1.77,0,0
 48-58,0,8.94,0,0,0,0,0,0,0,0.66,0,0.46,7.62,1.27,0,0,0,2.87,0,0
 60-70,0,20.42,0,0,0,2.06,0,0,0,0.9,0,0,9.3,1.22,0,0,0,0,0,0.96
 72-82,1.51,94.19,1.01,1.55,0.75,0,0,0,0,0,1.08,0,3.04,1.45,0,0,0,0,0,2.19
 84-94,0,92.39,0,0,0.78,0.95,0,0,0,0,0,1.11,4.92,0,0,1.2,0,0,0.62,0
 96-106,0,106.11,0,0,0,0,2.34,0,0.73,6.12,0,0,1.92,0,0,0,0,0,0,0
108-118,0,43.77,0,0,0,0,0,0,0,2.7,0,0,1.22,0,0,0,0,0,0,0
120,0,58.85,0,0,0,0,0,0,0,10.08,0,0,0,3.8,0,0,0,14.04,0,0
