stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,74.88,2201.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.33,0,0,0,0,0,0,0,0,0
  5-6,23.22,676.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.63,0,0,0,0,0,6.9,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,9.88,0,0,5.91,0,0,0,0,0,23.94,0,0,0,0,0,0,0,0,0,0,33.39,0,0,0,13.12,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,43.21,4.45,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.33,5.35,1.76,6.37,0,0,0,0,1.08,0,0,0,0,0,0,3.78,8.47,0,0,1.97,88.94,0,0,1.07,1.02,0,1.06,1.74,1.05,0,33.75,0,0,0,0,1.35
 24-34,0,0,2.13,0,2.49,0.81,10.94,0,0,0,0,2,0,1.22,0,0,0,0,15.45,16.54,0,0,3.55,234.09,0,2.21,0.96,0,0,0,0,2.74,1.3,52.04,0,0,0,0,9.25
 36-46,0,0,0,0,0,0,16.13,0,1.39,0.82,2.9,0,0,5.49,0,1.52,0,0,31.29,27.35,0,0.6,14.11,275.97,0,5.14,0,0,0,15.76,0,0,0,64.09,0,0,5.65,0,6.24
 48-58,0,0,0,0,0,0,55.61,0,0,3.94,14.72,0,0.37,1.5,0,9.04,0,0,43.48,22.2,0,0.42,6.16,347.22,0,1.22,0,0,0,11.11,0,0.57,0,50.16,0,0.61,0,0,30.96
 60-70,0,0,0,0,0.9,0,125.02,0,2.09,2.14,18.9,0,0,0.58,0,4.89,0,0,6.58,34.59,0.73,0,3.89,351.88,0,0,0,0,2.4,2.12,0,0,0,56.49,0,0.94,0.96,0,29.03
 72-82,0,0,0.68,0,11.23,0,91.46,0,1.14,8.34,25.21,0,0,1.42,0,1.38,1.43,0,20.57,49.84,0,0,3.25,423.06,0,0,0,0,2.43,6.59,0,0.53,0,25.63,1.01,8.7,4.18,3.84,33.84
 84-94,0,0,0.56,0,5.09,0.69,99.63,0,0,1.21,32.26,3.38,0,3.32,0.56,7.03,0,0.57,73.58,58.28,0,1.13,1.77,320.47,0,0,2.5,0,5.83,17.06,0,0,0,17.73,0,4.23,1.74,0,36.99
 96-106,0,0,0,0,2.97,3.82,55.72,5.97,0,2.3,39.19,0,0,0.62,0,5.14,0,0,24.95,34.1,1.75,0.7,1.35,290.74,0,0,1.16,0,5.6,5.3,0,0.7,0,5.35,0.82,7.43,4.53,1.97,22.63
108-118,0,0,3.32,0,5.31,1.66,91.62,0,1.29,0,31.47,0.91,0,0.74,0.71,30.17,0,1.83,49.9,60.17,0,2.72,0,245.56,0,1.82,4.68,0,4.54,4.3,0,0.66,0,22.65,0,9.31,1.95,0.79,37.24
120,0,0,3.52,0,3.74,0,100.63,0,1.01,6.77,27.06,0,0,0,0,5.74,4.16,0,55.76,39.16,0,0,1.22,340.17,0,0,0,0,0,14.42,0,1.23,0,35.82,0,6.76,13.21,0,3.96
