stage,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,hatching.gland,immune,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic.mesoderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.03,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,16.99,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,1.14,0,0,0,0,0,0,0,0,0,0,0,22.86,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,4.62,27.97,0,0,1.21,0,0,0,0,1.39,0,0,0,1067.51,0,0,0.45,0,0.92,0,2.51,0,0,0,0,10.72
 60-70,1.9,0,16.38,0.66,0,0,0,0,0,0,2.61,0,1.2,0,3643.07,0,0,0,0,0,2.72,1.58,0,0,0,0,2.09
 72-82,2.07,1.49,65.52,0,0,4.72,0,0,0,0,6.37,0,0,0.5,936.14,1.33,0,0,3.54,0,0,1.85,0,0,0,0,4.49
 84-94,1.9,0,307.95,1.27,1.45,0,0.64,0,0,0,3.61,0,0,0,4356.67,0,0,0,0.86,0,0,1.19,0,0,1.04,0,0
 96-106,214.35,0,9.74,0,0,0,0,2.44,0,0,0.86,0,0,0,947.53,0,0.6,0,0,0,0,0,0,0,0,0,0
108-118,0.61,0.57,17.82,0,0.68,3.53,0,1.73,1.5,8.63,5.42,3.53,0,0,2081.14,0.49,0,0,1.03,0,0,2.32,0.52,0.6,0,0,0
120,0,0,81.92,0,0,5.5,0,0,0,7.79,25.26,0,0,0,10823.74,0,0,0,3.99,0,0,0,0,0,2,1.43,0
