stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,48.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,32.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.94,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.59,4.52,0,0,8.09,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.86,0,0,0,12.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.11,1.54,4.31,0.84,0,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.81,0,0,0,0,0,0,0.93,0,1.23,2.48,6.93,0,0,0,0,0
 24-34,0,0,0,74.47,0,0,4.78,0.73,1.95,0,2.2,0,0.68,0,1.4,0,0,0,3.31,11.38,1.61,0,4.74,140.93,1.47,3.16,0,0,0,5.67,0,2.86,0,2.14,43.63,0,0,5.63,0,1.53
 36-46,0,0,0,316.42,0,0,23.08,0,14.58,0,3.14,0,0,0,0,0,0.61,0,1.44,4.54,3.62,0,2.02,372.71,0,7.94,0,0,0,13.38,0,2.58,0,0,105.6,0,0,24.03,0,1.72
 48-58,0,0,0,529.05,0,0,74.37,1.41,30.81,0.7,10.84,0,0,0,0.76,0.46,0,11.67,8.22,9.51,7.27,0,6.07,585.75,0,1.33,0,0,0.53,4.27,0,8.16,0.98,0,103.83,0,0,5.82,0,28.71
 60-70,0,0,0,1279.54,0,0,206.57,4.64,58.72,0,37.99,4.7,0,0,0,0,0.73,0,5.33,14.94,27.73,5.65,0.74,715.57,0,5.19,2.18,0,0,14.49,0,1.82,0,0,125.54,0,0.9,0.64,0.85,26.59
 72-82,0,0.54,0,1055.34,1.46,0,199.75,0,30.34,0,35.87,0.58,0.86,0.61,6.62,0.72,2.75,0,2.45,11.44,12.49,3.03,7.91,575.87,0,3.67,4.46,0,0,9.89,0,0.86,6.13,0,74.1,0,0,10.66,0,14.44
 84-94,0,0,0,2571.35,0,0,168.9,0.63,119.81,1.21,21.02,10.2,0,0,3.2,2.07,0.8,0.68,14.39,25.81,35.57,4.04,0,430.99,0,2.58,0,0,0,16.08,0,2.01,0,0,32.03,0,3.75,18.74,1.97,16.32
 96-106,0,0,1.03,1873.38,4.58,0,148.86,0,72.66,0,24.89,3.98,1,2.82,9,0,0,6.49,3.42,23.72,22.81,1.6,0,315.02,0,3.98,0,0,0,9.81,0,0.6,0,0,11.63,0,1.96,5.06,1.82,5.16
108-118,0,0,0,2568.08,0,6.86,115.17,1.38,142.03,0.85,25.64,3.84,0,0,9.14,3.63,0,0.88,7.79,21.86,22.38,2.61,2.34,304.55,0,5.93,0,0,0,13.47,0,1.37,0.56,0,22.28,1.18,2.65,4.53,1.43,3.37
120,0,0,0,2119.52,4.14,0,128.71,0,109.51,0,2.63,18.74,0,2.12,3.6,3.04,0,0,3.89,38.79,19.75,0,1.03,398.22,0,4.95,2.66,0,0,3.75,0,2.89,0,0,17.41,4.04,0,14.22,8.46,4.83
