stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,15.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,44.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.89,6.14,0,0,0,0,0,4.22,0,0,0,0,0,9.29,0,0,0,0,0,0,0,0,0,0,96.97,14.4,0,0,40.17,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,11.5,0,0,0,28.9,0,0,0,0,0,3.85,0,0,0,0,0,0,0,0,0,0,383.18,3.33,0,0,64.17,0,0,10.95,0,5.68,0,0,0,0,0,0,0
 14-21,0,0,0,0.86,7.79,11.81,0,4.08,0,0,0,28.61,0,1.74,1.84,0,0,0,0,0,0,7.43,0,0.93,217.5,0,4.57,7.19,1.81,0,3.19,0,14.87,9.58,0.8,2.04,89.39,0,8.01,0,0
 24-34,0,0,0.6,0.82,4.47,0.67,0,22.85,0,0,0,30.34,1.88,0,1.94,0,0,0,0.6,0,0,26.58,0,5.3,481.27,5.05,1.72,12.91,0,0,8.09,0,0,0.7,0,1.26,147.71,0,71.21,0,2.36
 36-46,0,0,0,0,27.78,0,0,25.33,2.43,0,0,39.94,0,0,0.75,0,0,8.43,0,1.62,0,20.35,0,4.21,403.54,5.49,1.02,11.31,0,8.6,11.89,0,0,2.24,4.22,0,158.73,0,63.1,0,0
 48-58,0,0,0,0,12.4,0,0,57.6,6.89,0.45,0,75.97,0,0,0.58,0,0,0,0.39,0,2.93,29.86,5.86,4.75,303.38,3.21,2.42,15.98,0,0,6.34,0,0,0,1.13,0,106.93,0,51.65,0,7.2
 60-70,0,0,0,0,5.16,0,0,34.01,4.23,0,0,70.72,0,0,0.66,0,0,0,0.67,1.77,4.17,44.01,0,2.26,267.29,0,0,2.72,0,0,7.15,0,0,7.09,1.57,0,51.62,0,27.56,0,0
 72-82,0,0,0,0,1.06,0,0,51.17,0,0,0,61.6,0.58,0,0.79,3.39,0.63,0.83,0.6,1.31,0,28.71,2.26,7.95,440.32,1.23,0.54,9.7,0,0,1.72,0,0,0,0,0,19.89,2.44,83.37,2.13,0
 84-94,0,0,0,0,8.99,0.57,0,40.43,0.57,0,5.25,50.09,0,0,3.59,4.6,1,0,0,0,0,24.6,4.9,0.63,292.31,0.63,0.66,25.84,0,0,3.75,0,0,2.39,0.8,0,31.45,0,59.32,0,5.99
 96-106,0,0,0,0,6.55,9.54,0,70.88,1.52,0,0,77.54,0,0,0.62,1.6,0,0,2.87,0,0,33.6,0,0,348.7,0,1.28,12.44,0,0,1.86,0,0,0,0,0,35.3,0,88.14,0,0
108-118,0,0,0,0,0,0,0.7,31.99,0,0,0.7,55.35,0,0,1.49,0.47,0,0,1.37,0,0.97,21.27,0,0.67,461.27,0,1.47,31.29,0,0,0,0,0,3.07,1.02,0,21.76,0,40.79,1.63,2.03
120,0,0,0,0,29.91,0,1.8,44.44,0,0,6.61,113.34,2.84,0,0,0,0,10.67,1.15,0,0,30.59,0,2.07,798.64,0,2.92,30.8,0,0,0,0,1.12,0,0,0,48.58,0,66.66,0,0
