stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,xanthophores
 10-12,15.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.06,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,88.23,0.81,0,0,0,0,0,0,2.01,0,1.81,0,11.59,0,0.92,0,2.64,24.28,0,9.09,33.89,1.25,3.7,0,0,1.17,0,0,0
 24-34,3.46,35.74,0,0.68,0,0,0,0,0,21.6,0.6,2.66,0,92.52,0,5.17,2.53,6.62,97.65,1.3,28.05,166.56,0,3.5,0,0.68,6.3,0,0,0.91
 36-46,0,6.08,0,3.2,0,0,0,1.13,0,13.67,0,0,0,24.18,0,3.85,0.6,5.3,127.52,0,13.57,92.21,0,9.52,0,0,4.26,0,0,0
 48-58,0,1.02,0,10.2,0.71,0,0,3.71,0,58.9,0,7.61,0,29.3,0,6.68,0.94,2.38,81.23,0.56,5.23,133.96,0,0.51,0,0,7.18,0,0,0
 60-70,0,0,0,38.66,0,0,0,0.87,0,15.87,0,0,0,54.26,0,7.64,0,1.18,55.48,0,2.27,183.55,0,0,0,0,5.45,0,0,0
 72-82,0,3.4,0,31.73,0,0,0,7.07,0,8.07,0.59,0,0,86.19,0,0,0,0,82.21,0,2.91,439.24,0,1.4,0,0,5.18,1.93,0,0
 84-94,0,0.91,0,22.09,0,0,0,5.21,0,15.45,0,0,0,125.39,0,3.36,0,1.14,61.06,0,10,580.37,0,0.67,0,0,5.06,15,0,0
 96-106,0,3.41,1.85,32.03,0,2.34,0,1.01,2.6,1.32,0.95,0,0,204.5,8.46,1.24,0,0,59.98,0,15.11,701.76,0,0,0,0,2.56,42.15,0,0
108-118,0.74,0,0,45.5,0,0,2.92,5.06,0,0,0,0,0.85,127.47,0,8.24,0,0.42,46.78,0.59,9.45,523.41,0,0,0.87,0,2.03,42.21,1.42,0
120,0,0,0,69.19,0,0,0,0,0,0,0,0,0,103.54,0,12.62,0,0,96.11,0,24.84,512.52,0,3.58,0,0,4.36,41.97,9.96,0
