stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,172.5,1.69,0,5.46,0,0,0,0,0,175.47,0,0,0,0,0,0,0,4.66,0,0,0,39.14,0,0,0,5.75,0,6.79,0,6.31,0.9,0,1.85,0.97,0,0,0,0,0
 24-34,0,0,0,293.35,0,0,0.6,0,2.28,0,3.07,0,59.36,5.64,0,0,0,0,0.6,7.59,2.99,0,0,5.13,65.45,0,0,0,0,0,25.84,0,0,0,1.16,0.63,8.9,0,0,1.98,0,0
 36-46,0,0,0,111.42,0,0,0,0,2,0,0,0,5.19,0.89,0,0,0,0.77,0,0,1.25,0,0,0,17.6,0,3.36,0,0,0,14.97,0.78,0,0,0,0,3.82,0,0,0,0,0
 48-58,0,0,0,4.46,0,0,7.37,0,0,0,1.66,0,43.11,0,0,0,0,0,0,0,4.48,0,0,0,68.38,0,0,0,0,0,4.46,0,0,0,0,0,0.64,0,0,0,0,0
 60-70,0,0,0,0.71,0,786.67,20.04,0,0,0,0.9,0,4.13,0,0,0,0,0,12.41,0,13.54,0,0,0,162.49,7.89,0,0,0,0,0,0.85,0,0,0,0,8.28,0,0,0,0,0
 72-82,0,2.35,0,37.2,41.5,11500.01,313.44,2.7,4.16,6.99,45.92,10.84,4.11,5.42,3.82,5.24,13.1,0.65,46.25,0,140.02,5.1,5.13,14.71,1126.93,3.36,12.56,13.19,0,0,44.27,0,0,0,0,0,45.52,6.42,7.81,32.04,10.48,19.1
 84-94,0,1.46,0,54.96,100.07,22980.66,264.06,0.64,6.62,5.52,75.12,0,0,2.33,2.92,6.04,12.94,6.93,37.23,11.1,152.91,3.72,4.9,17.53,1425.71,0,2.83,13.75,0,1.31,115.67,0,0,1.02,0.64,0,65.33,2.28,5.26,15.84,5.4,9.15
 96-106,0,25.08,1.75,524.72,926.62,96811.36,3005.11,47.72,71.53,96.03,770.28,171.63,0,35.6,154.42,73.74,47.38,61.87,688.04,11.23,1592.84,102.46,96.56,115,8112.93,21.48,126.73,102.68,0,45,1134.65,3.39,0,7.36,14.61,0,211.21,53.18,70.5,456.94,83.76,131.81
108-118,3.95,24.06,5.1,700.02,589.41,230954.05,6320.38,68.8,140.3,128.98,1197.06,174.38,0,41.46,182.62,88.24,225.9,55.05,507.63,148.74,2805.41,104.21,101.49,301.16,13438.36,57.89,70.53,118.82,8.11,84.43,1371.23,0,0,15.29,16.59,0,288.01,47.18,51.56,311.69,110.76,575.93
120,0,20.47,2.55,699.1,577.71,100644.48,2929.29,53.98,90.15,118.21,1432.13,122.91,0,28.04,273.83,56.34,74.04,59.51,283.69,16.96,2605.1,14.86,152.27,197.72,13277.3,79.29,156.56,101.87,0,78.13,510.52,2.5,0,116.65,17.47,0,223.74,47.63,65.54,483.04,139.04,131.03
