stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,40.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,82.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.05,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.97,6.21,0,4.89,0,0,0,4.7,0,0,0,0,0,5.97,0,0,0,0,0,0,0,0,0,0,167.08,23.71,0,0,88.03,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,11.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.63,11.59,0,0,22.57,0,0,0,0,5.43,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,38.16,17.17,0,0,0,0,0,0.85,2.61,0,0,6.54,0,0,0,0,25.24,0,0,11.57,19.54,2.74,0,0,0.86,0,2.56,1.53,3.86,1.01,0.92,2.68,17.99,0,0,9.63,0,0
 24-34,0,0,0,0.6,38.43,0.66,0,1.76,0,6.78,0,1.39,0.64,0,5.52,32.11,1.12,0,2.91,0,55.17,1.56,1.79,28.92,58.35,8.58,5.77,0.78,0,0.99,35.64,0,0,0,0,0,23.25,0,0,91.2,0,0
 36-46,0,0,0,0,39.44,0,0,8.79,0,12.62,2.85,4.05,0,0,0.99,29.61,2.56,0,3.42,0,62.14,0.65,0.71,27.75,85.68,2.73,2.34,2.42,0,0,35.84,0,0,0,8.85,0,14.95,0,0,36.01,0,0.9
 48-58,0,0,0,0,48.99,0,0,22.12,0,6.61,10.04,14.47,0.38,0,5.49,36.07,0,0,2.05,0,115.18,4.27,2.86,31.25,78.44,5.54,4.73,2.87,0,0,32.53,0,0,3.23,0,0,16.65,0,1.35,64.63,0.9,6.83
 60-70,0,0,0,0,70.09,0,0,32.59,0,17.78,15.83,28.62,1.54,0,0,39.06,0,1.98,1.81,2.12,218.71,0,1.66,17.43,62.4,4.47,2,0.86,0,4.07,50.08,0,0,5.38,0,0,7.15,0,1.58,98.53,0,6.79
 72-82,0,0,1.48,0,31.76,0.59,0,41.61,0,21.53,20.17,105.5,9.41,0,1.62,61.36,1.07,0.93,5.59,4.46,369.51,8.83,11.51,35.15,82.07,1.5,13.29,8.34,0,9.32,18.49,0,0,0.57,0,0,9.02,2.34,6.37,126.09,8.29,0
 84-94,0,0,5.76,0,63.7,0.84,1.17,27.8,0,8.1,25.24,38.16,17.64,0,1.92,77.68,2.16,5.22,17.38,22.78,305.83,5.07,14.8,31.61,85.5,2.82,25.18,3.21,0,7.34,66.55,0,0,5.46,0,0,5.45,8.47,9.56,80.32,15.26,0
 96-106,0,0,0.89,0,61.28,5.36,3.52,44.29,1.49,9.57,16.32,85.23,23.53,0,14.11,79.32,4.69,2.02,13.88,98.1,343.65,1.97,9.21,37.27,114.94,0.7,39.57,6.2,0,16.37,66.93,0,0,1.97,0,0,2.44,2.05,3.2,88.06,18.61,7.05
108-118,0,0,3.63,0,68.29,0.91,2.86,31.3,0,21.15,20.95,66.47,29.57,0,3.77,70.64,5.71,8.75,11.54,138.66,387.2,5.77,17.66,22.6,107.18,9.82,23.9,5.76,0,40.03,31.88,0,0,4.25,1.16,0,0.58,4.33,4.14,81.72,17.26,1.52
120,0,0,0,4.41,98.8,0,1.71,11.96,0,16.16,8.71,64,24.3,0,8.49,100.6,8.5,21.26,0,71.48,268.09,1.05,7.35,27.89,99.18,8.22,20.37,6.19,0,74.24,57.28,0,0,4.6,0,0,11.96,2.31,1.95,95.83,9.73,0
