stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,15.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,39.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.58,0,0,0,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.53,0,0,0,3.36,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55,0,0,0,12.07,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,3.72,0,0,0,0,0,0.91,0,0,0,14.22,5.4,0,0,0,0,0,0,7.91,0.94,963.33,354.94,3.79,0,0,0,0,3.62
 24-34,0,0,2.61,0,0,10.89,94.83,0,1.23,1.88,0,19.47,0,1.78,0,0.73,4.22,7.29,5.62,0,0,65.82,117.72,0.67,1.29,1.06,0,0,6.11,0,1,300.93,580.86,17.87,0,0,0.65,0,4.58
 36-46,0,0,1.16,0,0,10.57,145.57,0,0,0,0,9.53,0,0,0,0.65,0,6.31,1.77,0,0,48.37,47.67,0,0.79,0,0,0,3.41,0,0,108.69,33.63,9.62,0,0,1.33,0,0
 48-58,0,0,0,0,0,21.5,79.49,0,0.88,1.77,0,2.64,0,0,0,0.73,0,1.39,5.11,0,0.5,83.67,73.84,0,0,0,4.77,0,0.4,0,0,96.38,0,14.11,0,0,1.51,0,3.64
 60-70,0,0,0,0,0,31.24,133.4,0,0,7.45,0,2.19,0,0,1.09,0,0,8.45,4.99,0,0,95.08,55.41,0,0,0,8.38,0,0,0,0,44.64,0,2.55,0,0,0,0,14.17
 72-82,0,0,0,0.69,0,59.93,109.94,0,0,21.61,0,0.49,0,0,2.68,0,0,0,20.66,0,0,32.59,30.29,0,0,0,2.25,0,1.28,0,0,26.07,0,6.22,0,0,6,0,10.48
 84-94,0,0,1.61,1.26,0,35.49,152.42,0,0.78,31.06,0,5.7,4.73,0,4.09,0,0,16,29.52,0,0,42.7,31.72,0,0,1.85,0,0,2,0,0,49.47,0,9.62,0,0,0,0,8.15
 96-106,0,0,6.68,16.17,1.09,69.94,370.5,4.36,1.53,239.46,2.47,10.44,0.85,0.86,2.51,0.77,11.67,4.65,105.83,2.26,1.72,57.77,133.72,0,1.92,2.26,1.2,0.79,30.23,0,0,49.46,0,1.35,0.8,10.16,4.75,1.13,18.17
108-118,0,0,5.85,12.29,1.53,84.21,388,1.48,0,131.66,0,8.13,0.64,1.07,9.08,0,0.7,5.4,40.46,0.94,0,72.62,113.06,0,0,0.57,0,1.19,3.2,0,0,46.72,0,14.22,0,0,1.03,3.48,48.44
120,0,0,3.48,3.71,4.06,49.27,191.63,0,5.04,213.22,1.04,5.55,0,0,4.78,0,0,1.54,120.58,0,0,44.86,99.41,0,8.07,0,0,0,0,0,0,13.13,0,0,1.19,0,0,0,28.08
